"","regret","regret","regret","regret","regret"
"name","Deterministic","DeterministicAlternating","EpsilonFirst","EpsilonGreedy","Exp3"
"trial","","","","",""
"49","0.04","0.0","1.08","0.2","0.84"
"50","0.0392156862745098","0.0","1.0588235294117647","0.19607843137254902","0.8627450980392157"
"51","0.038461538461538464","0.0","1.0384615384615385","0.19230769230769232","0.8846153846153846"
"52","0.03773584905660377","0.0","1.0188679245283019","0.18867924528301888","0.9056603773584906"
"53","0.037037037037037035","0.0","1.0","0.18518518518518517","0.9259259259259259"
"54","0.03636363636363636","0.0","0.9818181818181818","0.18181818181818182","0.9090909090909091"
"55","0.03571428571428571","0.0","0.9642857142857143","0.17857142857142858","0.8928571428571429"
"56","0.03508771929824561","0.0","0.9473684210526315","0.17543859649122806","0.8771929824561403"
"57","0.034482758620689655","0.0","0.9310344827586207","0.1724137931034483","0.8620689655172413"
"58","0.03389830508474576","0.0","0.9152542372881356","0.1694915254237288","0.847457627118644"
"59","0.03333333333333333","0.0","0.9","0.16666666666666666","0.8333333333333334"
"60","0.03278688524590164","0.0","0.8852459016393442","0.16393442622950818","0.819672131147541"
"61","0.03225806451612903","0.0","0.8709677419354839","0.16129032258064516","0.8064516129032258"
"62","0.031746031746031744","0.0","0.8571428571428571","0.15873015873015872","0.8253968253968254"
"63","0.03125","0.0","0.84375","0.15625","0.8125"
"64","0.03076923076923077","0.0","0.8307692307692308","0.15384615384615385","0.8"
"65","0.030303030303030304","0.0","0.8181818181818182","0.15151515151515152","0.7878787878787878"
"66","0.029850746268656716","0.0","0.8059701492537313","0.14925373134328357","0.8059701492537313"
"67","0.029411764705882353","0.0","0.7941176470588235","0.14705882352941177","0.7941176470588235"
"68","0.028985507246376812","0.0","0.782608695652174","0.14492753623188406","0.782608695652174"
"69","0.02857142857142857","0.0","0.7714285714285715","0.14285714285714285","0.7714285714285715"
"70","0.028169014084507043","0.0","0.7605633802816901","0.14084507042253522","0.7605633802816901"
"71","0.027777777777777776","0.0","0.75","0.1388888888888889","0.75"
"72","0.0273972602739726","0.0","0.7397260273972602","0.136986301369863","0.7397260273972602"
"73","0.02702702702702703","0.0","0.7297297297297297","0.13513513513513514","0.7567567567567568"
"74","0.02666666666666667","0.0","0.72","0.13333333333333333","0.7466666666666667"
"75","0.02631578947368421","0.0","0.7105263157894737","0.13157894736842105","0.7368421052631579"
"76","0.025974025974025976","0.0","0.7012987012987013","0.12987012987012986","0.7272727272727273"
"77","0.02564102564102564","0.0","0.6923076923076923","0.1282051282051282","0.7435897435897436"
"78","0.02531645569620253","0.0","0.6835443037974683","0.12658227848101267","0.7341772151898734"
"79","0.025","0.0","0.675","0.125","0.75"
"80","0.024691358024691357","0.0","0.6666666666666666","0.12345679012345678","0.7407407407407407"
"81","0.024390243902439025","0.0","0.6585365853658537","0.12195121951219512","0.7317073170731707"
"82","0.024096385542168676","0.0","0.6506024096385542","0.12048192771084337","0.7228915662650602"
"83","0.023809523809523808","0.0","0.6428571428571429","0.11904761904761904","0.7142857142857143"
"84","0.023529411764705882","0.0","0.6352941176470588","0.11764705882352941","0.7058823529411765"
"85","0.023255813953488372","0.0","0.627906976744186","0.11627906976744186","0.6976744186046512"
"86","0.022988505747126436","0.0","0.6206896551724138","0.11494252873563218","0.7126436781609196"
"87","0.022727272727272728","0.0","0.6136363636363636","0.11363636363636363","0.7045454545454546"
"88","0.02247191011235955","0.0","0.6067415730337079","0.11235955056179775","0.6966292134831461"
"89","0.022222222222222223","0.0","0.6","0.1111111111111111","0.6888888888888889"
"90","0.02197802197802198","0.0","0.5934065934065934","0.10989010989010989","0.6813186813186813"
"91","0.021739130434782608","0.0","0.5869565217391305","0.10869565217391304","0.6739130434782609"
"92","0.021505376344086023","0.0","0.5806451612903226","0.10752688172043011","0.6881720430107527"
"93","0.02127659574468085","0.0","0.574468085106383","0.10638297872340426","0.6808510638297872"
"94","0.021052631578947368","0.0","0.5684210526315789","0.10526315789473684","0.6736842105263158"
"95","0.020833333333333332","0.0","0.5625","0.10416666666666667","0.6666666666666666"
"96","0.020618556701030927","0.0","0.5567010309278351","0.10309278350515463","0.6597938144329897"
"97","0.02040816326530612","0.0","0.5510204081632653","0.10204081632653061","0.673469387755102"
"98","0.020202020202020204","0.0","0.5454545454545454","0.10101010101010101","0.6666666666666666"
"99","0.02","0.0","0.54","0.1","0.66"
"100","0.019801980198019802","0.0","0.5346534653465347","0.09900990099009901","0.6534653465346535"
"101","0.0196078431372549","0.0","0.5294117647058824","0.09803921568627451","0.6666666666666666"
"102","0.019417475728155338","0.0","0.5242718446601942","0.0970873786407767","0.6601941747572816"
"103","0.019230769230769232","0.0","0.5192307692307693","0.09615384615384616","0.6538461538461539"
"104","0.01904761904761905","0.0","0.5142857142857142","0.09523809523809523","0.6476190476190476"
"105","0.018867924528301886","0.0","0.5094339622641509","0.09433962264150944","0.660377358490566"
"106","0.018691588785046728","0.0","0.5046728971962616","0.09345794392523364","0.6542056074766355"
"107","0.018518518518518517","0.0","0.5","0.09259259259259259","0.6481481481481481"
"108","0.01834862385321101","0.0","0.4954128440366973","0.09174311926605505","0.6422018348623854"
"109","0.01818181818181818","0.0","0.4909090909090909","0.09090909090909091","0.6363636363636364"
"110","0.018018018018018018","0.0","0.4864864864864865","0.09009009009009009","0.6486486486486487"
"111","0.017857142857142856","0.0","0.48214285714285715","0.08928571428571429","0.6607142857142857"
"112","0.017699115044247787","0.0","0.4778761061946903","0.08849557522123894","0.6548672566371682"
"113","0.017543859649122806","0.0","0.47368421052631576","0.08771929824561403","0.6491228070175439"
"114","0.017391304347826087","0.0","0.46956521739130436","0.08695652173913043","0.6434782608695652"
"115","0.017241379310344827","0.0","0.46551724137931033","0.08620689655172414","0.6379310344827587"
"116","0.017094017094017096","0.0","0.46153846153846156","0.08547008547008547","0.6324786324786325"
"117","0.01694915254237288","0.0","0.4576271186440678","0.0847457627118644","0.6440677966101694"
"118","0.01680672268907563","0.0","0.453781512605042","0.08403361344537816","0.6554621848739496"
"119","0.016666666666666666","0.0","0.45","0.08333333333333333","0.6666666666666666"
"120","0.01652892561983471","0.0","0.4462809917355372","0.08264462809917356","0.6611570247933884"
"121","0.01639344262295082","0.0","0.4426229508196721","0.08196721311475409","0.6557377049180327"
"122","0.016260162601626018","0.0","0.43902439024390244","0.08130081300813008","0.6504065040650406"
"123","0.016129032258064516","0.0","0.43548387096774194","0.08064516129032258","0.6451612903225806"
"124","0.016","0.0","0.432","0.08","0.64"
"125","0.015873015873015872","0.0","0.42857142857142855","0.07936507936507936","0.6349206349206349"
"126","0.015748031496062992","0.0","0.4251968503937008","0.07874015748031496","0.6299212598425197"
"127","0.015625","0.0","0.421875","0.078125","0.625"
"128","0.015503875968992248","0.0","0.4186046511627907","0.07751937984496124","0.6201550387596899"
"129","0.015384615384615385","0.0","0.4153846153846154","0.07692307692307693","0.6153846153846154"
"130","0.015267175572519083","0.0","0.4122137404580153","0.07633587786259542","0.6106870229007634"
"131","0.015151515151515152","0.0","0.4090909090909091","0.07575757575757576","0.6060606060606061"
"132","0.015037593984962405","0.0","0.40601503759398494","0.07518796992481203","0.6015037593984962"
"133","0.014925373134328358","0.0","0.40298507462686567","0.07462686567164178","0.5970149253731343"
"134","0.014814814814814815","0.0","0.4","0.07407407407407407","0.6074074074074074"
"135","0.014705882352941176","0.0","0.39705882352941174","0.07352941176470588","0.6029411764705882"
"136","0.014598540145985401","0.0","0.39416058394160586","0.08759124087591241","0.5985401459854015"
"137","0.014492753623188406","0.0","0.391304347826087","0.08695652173913043","0.5942028985507246"
"138","0.014388489208633094","0.0","0.38848920863309355","0.08633093525179857","0.5899280575539568"
"139","0.014285714285714285","0.0","0.38571428571428573","0.1","0.5857142857142857"
"140","0.014184397163120567","0.0","0.3829787234042553","0.09929078014184398","0.5815602836879432"
"141","0.014084507042253521","0.0","0.38028169014084506","0.09859154929577464","0.5774647887323944"
"142","0.013986013986013986","0.0","0.3776223776223776","0.0979020979020979","0.5874125874125874"
"143","0.013888888888888888","0.0","0.375","0.09722222222222222","0.5833333333333334"
"144","0.013793103448275862","0.0","0.3724137931034483","0.09655172413793103","0.5793103448275863"
"145","0.0136986301369863","0.0","0.3698630136986301","0.0958904109589041","0.5753424657534246"
"146","0.013605442176870748","0.0","0.3673469387755102","0.09523809523809523","0.5714285714285714"
"147","0.013513513513513514","0.0","0.36486486486486486","0.0945945945945946","0.5675675675675675"
