Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,0,0,0,0,0,0
1,0.5,0.5,0,0,0.5,0.3
2,0.666666667,0.666666667,0.333333333,0,0.666666667,0.466666667
3,0.75,0.5,0.25,0,0.5,0.4
4,0.8,0.6,0.4,0,0.4,0.44
5,0.833333333,0.5,0.5,0,0.333333333,0.433333333
6,0.857142857,0.571428571,0.571428571,0,0.285714286,0.457142857
7,0.875,0.5,0.5,0.125,0.375,0.475
8,0.888888889,0.555555556,0.555555556,0.111111111,0.333333333,0.488888889
9,0.9,0.5,0.5,0.1,0.4,0.48
10,0.909090909,0.545454545,0.545454545,0.090909091,0.363636364,0.490909091
11,0.916666667,0.5,0.583333333,0.083333333,0.333333333,0.483333333
12,0.923076923,0.538461538,0.615384615,0.076923077,0.307692308,0.492307692
13,0.928571429,0.5,0.571428571,0.071428571,0.285714286,0.471428571
14,0.933333333,0.533333333,0.6,0.066666667,0.266666667,0.48
15,0.9375,0.5,0.625,0.125,0.3125,0.5
16,0.941176471,0.529411765,0.588235294,0.117647059,0.352941176,0.505882353
17,0.944444444,0.5,0.555555556,0.111111111,0.333333333,0.488888889
18,0.947368421,0.526315789,0.578947368,0.105263158,0.368421053,0.505263158
19,0.95,0.5,0.6,0.1,0.35,0.5
20,0.952380952,0.523809524,0.571428571,0.095238095,0.333333333,0.495238095
21,0.954545455,0.5,0.545454545,0.090909091,0.318181818,0.481818182
22,0.956521739,0.52173913,0.52173913,0.086956522,0.304347826,0.47826087
23,0.958333333,0.5,0.5,0.083333333,0.291666667,0.466666667
24,0.96,0.52,0.52,0.08,0.28,0.472
25,0.961538462,0.5,0.5,0.076923077,0.269230769,0.461538462
26,0.962962963,0.518518519,0.481481481,0.074074074,0.296296296,0.466666667
27,0.964285714,0.5,0.464285714,0.071428571,0.285714286,0.457142857
28,0.965517241,0.517241379,0.482758621,0.068965517,0.275862069,0.462068966
29,0.966666667,0.5,0.5,0.066666667,0.266666667,0.46
30,0.967741935,0.516129032,0.483870968,0.096774194,0.258064516,0.464516129
31,0.96875,0.5,0.5,0.09375,0.28125,0.46875
32,0.96969697,0.515151515,0.515151515,0.090909091,0.272727273,0.472727273
33,0.970588235,0.5,0.529411765,0.088235294,0.294117647,0.476470588
34,0.971428571,0.514285714,0.514285714,0.085714286,0.314285714,0.48
35,0.972222222,0.5,0.527777778,0.083333333,0.333333333,0.483333333
36,0.972972973,0.513513514,0.540540541,0.081081081,0.324324324,0.486486486
37,0.973684211,0.5,0.552631579,0.078947368,0.315789474,0.484210526
38,0.974358974,0.512820513,0.564102564,0.076923077,0.307692308,0.487179487
39,0.975,0.5,0.575,0.075,0.3,0.485
40,0.975609756,0.512195122,0.585365854,0.073170732,0.317073171,0.492682927
41,0.976190476,0.5,0.571428571,0.071428571,0.30952381,0.485714286
42,0.976744186,0.511627907,0.558139535,0.069767442,0.302325581,0.48372093
43,0.977272727,0.5,0.545454545,0.068181818,0.295454545,0.477272727
44,0.977777778,0.511111111,0.555555556,0.066666667,0.288888889,0.48
45,0.97826087,0.5,0.543478261,0.065217391,0.282608696,0.473913043
46,0.978723404,0.510638298,0.553191489,0.085106383,0.276595745,0.480851064
47,0.979166667,0.5,0.541666667,0.083333333,0.270833333,0.475
48,0.979591837,0.510204082,0.551020408,0.081632653,0.285714286,0.481632653
49,0.98,0.5,0.54,0.08,0.28,0.476
50,0.980392157,0.509803922,0.529411765,0.078431373,0.274509804,0.474509804
51,0.980769231,0.5,0.519230769,0.076923077,0.269230769,0.469230769
52,0.981132075,0.509433962,0.509433962,0.075471698,0.264150943,0.467924528
53,0.981481481,0.5,0.5,0.074074074,0.259259259,0.462962963
54,0.981818182,0.509090909,0.490909091,0.072727273,0.254545455,0.461818182
55,0.982142857,0.5,0.482142857,0.071428571,0.25,0.457142857
56,0.98245614,0.50877193,0.473684211,0.070175439,0.263157895,0.459649123
57,0.982758621,0.5,0.465517241,0.068965517,0.275862069,0.45862069
58,0.983050847,0.508474576,0.457627119,0.06779661,0.271186441,0.457627119
59,0.983333333,0.5,0.45,0.066666667,0.266666667,0.453333333
60,0.983606557,0.508196721,0.442622951,0.06557377,0.262295082,0.452459016
61,0.983870968,0.5,0.435483871,0.064516129,0.258064516,0.448387097
62,0.984126984,0.507936508,0.428571429,0.063492063,0.26984127,0.450793651
63,0.984375,0.5,0.421875,0.0625,0.265625,0.446875
64,0.984615385,0.507692308,0.415384615,0.061538462,0.261538462,0.446153846
65,0.984848485,0.5,0.409090909,0.060606061,0.257575758,0.442424242
66,0.985074627,0.507462687,0.402985075,0.059701493,0.253731343,0.441791045
67,0.985294118,0.5,0.397058824,0.058823529,0.25,0.438235294
68,0.985507246,0.507246377,0.391304348,0.057971014,0.246376812,0.437681159
69,0.985714286,0.5,0.385714286,0.057142857,0.242857143,0.434285714
70,0.985915493,0.507042254,0.38028169,0.056338028,0.23943662,0.433802817
71,0.986111111,0.5,0.375,0.055555556,0.25,0.433333333
72,0.98630137,0.506849315,0.369863014,0.054794521,0.246575342,0.432876712
73,0.986486486,0.5,0.364864865,0.054054054,0.243243243,0.42972973
74,0.986666667,0.506666667,0.36,0.066666667,0.24,0.432
75,0.986842105,0.5,0.355263158,0.065789474,0.236842105,0.428947368
76,0.987012987,0.506493506,0.350649351,0.064935065,0.233766234,0.428571429
77,0.987179487,0.5,0.346153846,0.064102564,0.230769231,0.425641026
78,0.987341772,0.506329114,0.341772152,0.063291139,0.227848101,0.425316456
79,0.9875,0.5,0.3375,0.0625,0.225,0.4225
80,0.987654321,0.50617284,0.333333333,0.061728395,0.222222222,0.422222222
81,0.987804878,0.5,0.329268293,0.06097561,0.219512195,0.419512195
82,0.987951807,0.506024096,0.325301205,0.060240964,0.21686747,0.419277108
83,0.988095238,0.5,0.321428571,0.05952381,0.214285714,0.416666667
84,0.988235294,0.505882353,0.317647059,0.058823529,0.211764706,0.416470588
85,0.988372093,0.5,0.313953488,0.058139535,0.209302326,0.413953488
86,0.988505747,0.505747126,0.310344828,0.057471264,0.206896552,0.413793103
87,0.988636364,0.5,0.306818182,0.056818182,0.204545455,0.411363636
88,0.988764045,0.505617978,0.303370787,0.056179775,0.202247191,0.411235955
89,0.988888889,0.5,0.3,0.055555556,0.2,0.408888889
90,0.989010989,0.505494505,0.296703297,0.054945055,0.197802198,0.408791209
91,0.989130435,0.5,0.293478261,0.054347826,0.195652174,0.406521739
92,0.989247312,0.505376344,0.290322581,0.053763441,0.193548387,0.406451613
93,0.989361702,0.5,0.287234043,0.053191489,0.191489362,0.404255319
94,0.989473684,0.505263158,0.284210526,0.063157895,0.189473684,0.406315789
95,0.989583333,0.5,0.28125,0.0625,0.1875,0.404166667
96,0.989690722,0.505154639,0.278350515,0.06185567,0.18556701,0.404123711
97,0.989795918,0.5,0.275510204,0.06122449,0.183673469,0.402040816
98,0.98989899,0.505050505,0.272727273,0.060606061,0.181818182,0.402020202
99,0.99,0.5,0.27,0.06,0.18,0.4
100,0.99009901,0.504950495,0.267326733,0.059405941,0.188118812,0.401980198
101,0.990196078,0.5,0.264705882,0.058823529,0.18627451,0.4
102,0.990291262,0.504854369,0.262135922,0.058252427,0.184466019,0.4
103,0.990384615,0.5,0.259615385,0.057692308,0.182692308,0.398076923
104,0.99047619,0.504761905,0.257142857,0.057142857,0.180952381,0.398095238
105,0.990566038,0.5,0.254716981,0.056603774,0.179245283,0.396226415
106,0.990654206,0.504672897,0.252336449,0.056074766,0.177570093,0.396261682
107,0.990740741,0.5,0.25,0.055555556,0.175925926,0.394444444
108,0.990825688,0.504587156,0.247706422,0.055045872,0.174311927,0.394495413
109,0.990909091,0.5,0.245454545,0.054545455,0.172727273,0.392727273
110,0.990990991,0.504504505,0.243243243,0.054054054,0.171171171,0.392792793
111,0.991071429,0.5,0.241071429,0.053571429,0.169642857,0.391071429
112,0.991150442,0.504424779,0.238938053,0.053097345,0.17699115,0.392920354
113,0.99122807,0.5,0.236842105,0.052631579,0.184210526,0.392982456
114,0.991304348,0.504347826,0.234782609,0.052173913,0.182608696,0.393043478
115,0.99137931,0.5,0.232758621,0.051724138,0.181034483,0.39137931
116,0.991452991,0.504273504,0.230769231,0.051282051,0.179487179,0.391452991
117,0.991525424,0.5,0.228813559,0.050847458,0.186440678,0.391525424
118,0.991596639,0.504201681,0.226890756,0.050420168,0.18487395,0.391596639
119,0.991666667,0.5,0.225,0.05,0.183333333,0.39
120,0.991735537,0.504132231,0.223140496,0.049586777,0.181818182,0.390082645
121,0.991803279,0.5,0.221311475,0.049180328,0.180327869,0.38852459
122,0.991869919,0.504065041,0.219512195,0.048780488,0.18699187,0.390243902
123,0.991935484,0.5,0.217741935,0.048387097,0.185483871,0.388709677
124,0.992,0.504,0.216,0.048,0.184,0.3888
125,0.992063492,0.5,0.214285714,0.047619048,0.182539683,0.387301587
126,0.992125984,0.503937008,0.212598425,0.047244094,0.181102362,0.387401575
127,0.9921875,0.5,0.2109375,0.046875,0.1796875,0.3859375
128,0.992248062,0.503875969,0.209302326,0.054263566,0.178294574,0.387596899
129,0.992307692,0.5,0.207692308,0.053846154,0.176923077,0.386153846
130,0.992366412,0.503816794,0.20610687,0.053435115,0.175572519,0.386259542
131,0.992424242,0.5,0.204545455,0.053030303,0.174242424,0.384848485
132,0.992481203,0.503759398,0.203007519,0.052631579,0.172932331,0.384962406
133,0.992537313,0.5,0.201492537,0.052238806,0.171641791,0.38358209
134,0.992592593,0.503703704,0.2,0.051851852,0.17037037,0.383703704
135,0.992647059,0.5,0.198529412,0.051470588,0.169117647,0.382352941
136,0.99270073,0.503649635,0.197080292,0.051094891,0.167883212,0.382481752
137,0.992753623,0.5,0.195652174,0.050724638,0.166666667,0.38115942
138,0.992805755,0.503597122,0.194244604,0.050359712,0.165467626,0.381294964
139,0.992857143,0.5,0.192857143,0.05,0.164285714,0.38
140,0.992907801,0.503546099,0.191489362,0.04964539,0.163120567,0.380141844
141,0.992957746,0.5,0.190140845,0.049295775,0.161971831,0.378873239
142,0.993006993,0.503496503,0.188811189,0.055944056,0.160839161,0.38041958
143,0.993055556,0.5,0.1875,0.0625,0.166666667,0.381944444
144,0.993103448,0.503448276,0.186206897,0.062068966,0.172413793,0.383448276
145,0.993150685,0.5,0.184931507,0.061643836,0.171232877,0.382191781
146,0.993197279,0.503401361,0.183673469,0.06122449,0.170068027,0.382312925
147,0.993243243,0.5,0.182432432,0.060810811,0.168918919,0.381081081
148,0.993288591,0.503355705,0.181208054,0.060402685,0.174496644,0.382550336
149,0.993333333,0.5,0.18,0.06,0.173333333,0.381333333
150,0.993377483,0.503311258,0.178807947,0.059602649,0.17218543,0.381456954
151,0.993421053,0.5,0.177631579,0.059210526,0.177631579,0.381578947
