Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,0,0,0,0,0,0
1,0.4,0.1,0.4,0,0.4,0.26
2,0.2,0.066666667,0.266666667,0,0.266666667,0.16
3,0.1,0.1,0.2,0,0.15,0.11
4,0.24,0.08,0.32,0,0.12,0.152
5,0.166666667,0.066666667,0.266666667,0,0.233333333,0.146666667
6,0.114285714,0.171428571,0.228571429,0,0.171428571,0.137142857
7,0.2,0.15,0.175,0,0.25,0.155
8,0.266666667,0.111111111,0.155555556,0,0.222222222,0.151111111
9,0.22,0.1,0.14,0,0.2,0.132
10,0.272727273,0.072727273,0.109090909,0,0.181818182,0.127272727
11,0.233333333,0.066666667,0.1,0,0.166666667,0.113333333
12,0.276923077,0.123076923,0.076923077,0,0.215384615,0.138461538
13,0.314285714,0.114285714,0.057142857,0,0.257142857,0.148571429
14,0.346666667,0.16,0.04,0,0.293333333,0.168
15,0.375,0.15,0.0375,0,0.2625,0.165
16,0.341176471,0.129411765,0.035294118,0,0.247058824,0.150588235
17,0.366666667,0.122222222,0.033333333,0,0.233333333,0.151111111
18,0.336842105,0.105263158,0.031578947,0,0.221052632,0.138947368
19,0.36,0.1,0.02,0,0.2,0.136
20,0.333333333,0.133333333,0.00952381,0,0.180952381,0.131428571
21,0.354545455,0.127272727,0.045454545,0,0.209090909,0.147272727
22,0.373913043,0.156521739,0.034782609,-7.72329E-17,0.2,0.153043478
23,0.391666667,0.15,0.025,0,0.183333333,0.15
24,0.368,0.136,0.024,0,0.176,0.1408
25,0.384615385,0.130769231,0.023076923,0,0.161538462,0.14
26,0.4,0.155555556,0.051851852,0,0.148148148,0.151111111
27,0.414285714,0.15,0.042857143,0,0.142857143,0.15
28,0.427586207,0.137931034,0.04137931,0,0.165517241,0.154482759
29,0.44,0.133333333,0.04,0,0.186666667,0.16
30,0.419354839,0.122580645,0.038709677,0,0.180645161,0.152258065
31,0.4,0.11875,0.0625,0,0.2,0.15625
32,0.412121212,0.109090909,0.084848485,0,0.218181818,0.164848485
33,0.423529412,0.105882353,0.082352941,0,0.211764706,0.164705882
34,0.434285714,0.097142857,0.074285714,0,0.228571429,0.166857143
35,0.416666667,0.094444444,0.072222222,0,0.244444444,0.165555556
36,0.427027027,0.086486486,0.07027027,0,0.259459459,0.168648649
37,0.436842105,0.084210526,0.089473684,9.34925E-17,0.273684211,0.176842105
38,0.420512821,0.076923077,0.107692308,0.241025641,0.266666667,0.222564103
39,0.405,0.075,0.105,0.235,0.26,0.216
40,0.414634146,0.068292683,0.097560976,0.229268293,0.253658537,0.212682927
41,0.4,0.066666667,0.095238095,0.223809524,0.242857143,0.205714286
42,0.409302326,0.08372093,0.093023256,0.218604651,0.23255814,0.20744186
43,0.418181818,0.081818182,0.109090909,0.213636364,0.222727273,0.209090909
44,0.426666667,0.097777778,0.106666667,0.208888889,0.235555556,0.215111111
45,0.434782609,0.095652174,0.12173913,0.204347826,0.230434783,0.217391304
46,0.421276596,0.089361702,0.114893617,0.2,0.225531915,0.210212766
47,0.408333333,0.0875,0.1125,0.195833333,0.220833333,0.205
48,0.416326531,0.102040816,0.110204082,0.191836735,0.216326531,0.207346939
49,0.424,0.1,0.124,0.188,0.228,0.2128
50,0.431372549,0.094117647,0.121568627,0.184313725,0.223529412,0.210980392
51,0.438461538,0.092307692,0.119230769,0.196153846,0.219230769,0.213076923
52,0.445283019,0.105660377,0.116981132,0.19245283,0.230188679,0.218113208
53,0.451851852,0.103703704,0.114814815,0.188888889,0.225925926,0.217037037
54,0.44,0.098181818,0.112727273,0.185454545,0.236363636,0.214545455
55,0.428571429,0.096428571,0.110714286,0.182142857,0.228571429,0.209285714
56,0.41754386,0.10877193,0.10877193,0.175438596,0.238596491,0.209824561
57,0.424137931,0.106896552,0.106896552,0.168965517,0.234482759,0.208275862
58,0.430508475,0.101694915,0.105084746,0.179661017,0.230508475,0.209491525
59,0.436666667,0.1,0.103333333,0.176666667,0.223333333,0.208
60,0.442622951,0.095081967,0.101639344,0.186885246,0.219672131,0.209180328
61,0.448387097,0.093548387,0.1,0.183870968,0.216129032,0.208387097
62,0.438095238,0.088888889,0.098412698,0.180952381,0.212698413,0.203809524
63,0.44375,0.0875,0.096875,0.178125,0.20625,0.2025
64,0.433846154,0.098461538,0.095384615,0.175384615,0.203076923,0.201230769
65,0.424242424,0.096969697,0.093939394,0.172727273,0.196969697,0.196969697
66,0.414925373,0.107462687,0.092537313,0.170149254,0.205970149,0.198208955
67,0.420588235,0.105882353,0.091176471,0.167647059,0.214705882,0.2
68,0.426086957,0.101449275,0.089855072,0.162318841,0.211594203,0.19826087
69,0.431428571,0.1,0.088571429,0.16,0.205714286,0.197142857
70,0.436619718,0.095774648,0.087323944,0.169014085,0.202816901,0.198309859
71,0.427777778,0.094444444,0.086111111,0.166666667,0.197222222,0.194444444
72,0.419178082,0.104109589,0.084931507,0.164383562,0.194520548,0.193424658
73,0.424324324,0.102702703,0.083783784,0.162162162,0.191891892,0.192972973
74,0.429333333,0.098666667,0.082666667,0.170666667,0.189333333,0.194133333
75,0.421052632,0.097368421,0.081578947,0.168421053,0.184210526,0.190526316
76,0.412987013,0.093506494,0.080519481,0.166233766,0.192207792,0.189090909
77,0.405128205,0.092307692,0.079487179,0.164102564,0.18974359,0.186153846
78,0.410126582,0.101265823,0.078481013,0.162025316,0.197468354,0.189873418
79,0.4025,0.1,0.0775,0.16,0.195,0.187
80,0.395061728,0.108641975,0.07654321,0.158024691,0.192592593,0.18617284
81,0.4,0.107317073,0.075609756,0.156097561,0.190243902,0.185853659
82,0.404819277,0.103614458,0.074698795,0.154216867,0.187951807,0.185060241
83,0.397619048,0.102380952,0.073809524,0.152380952,0.185714286,0.182380952
84,0.402352941,0.110588235,0.072941176,0.150588235,0.192941176,0.185882353
85,0.395348837,0.109302326,0.072093023,0.148837209,0.190697674,0.183255814
86,0.388505747,0.105747126,0.071264368,0.147126437,0.186206897,0.179770115
87,0.381818182,0.104545455,0.070454545,0.145454545,0.184090909,0.177272727
88,0.375280899,0.112359551,0.069662921,0.143820225,0.182022472,0.176629213
89,0.368888889,0.111111111,0.068888889,0.142222222,0.177777778,0.173777778
90,0.373626374,0.118681319,0.068131868,0.140659341,0.173626374,0.174945055
91,0.37826087,0.117391304,0.067391304,0.139130435,0.17173913,0.174782609
92,0.382795699,0.124731183,0.066666667,0.137634409,0.167741935,0.175913978
93,0.376595745,0.123404255,0.065957447,0.136170213,0.174468085,0.175319149
94,0.370526316,0.12,0.065263158,0.134736842,0.181052632,0.174315789
95,0.364583333,0.11875,0.064583333,0.133333333,0.179166667,0.172083333
96,0.369072165,0.125773196,0.063917526,0.131958763,0.177319588,0.173608247
97,0.373469388,0.124489796,0.063265306,0.130612245,0.175510204,0.173469388
98,0.367676768,0.131313131,0.062626263,0.129292929,0.181818182,0.174545455
99,0.372,0.13,0.062,0.128,0.188,0.176
100,0.366336634,0.136633663,0.061386139,0.126732673,0.186138614,0.175445545
101,0.370588235,0.135294118,0.060784314,0.125490196,0.184313725,0.175294118
102,0.365048544,0.132038835,0.060194175,0.124271845,0.190291262,0.174368932
103,0.359615385,0.130769231,0.059615385,0.123076923,0.188461538,0.172307692
104,0.354285714,0.127619048,0.059047619,0.121904762,0.194285714,0.171428571
105,0.358490566,0.126415094,0.058490566,0.120754717,0.19245283,0.171320755
106,0.362616822,0.13271028,0.057943925,0.127102804,0.198130841,0.175700935
107,0.357407407,0.131481481,0.057407407,0.125925926,0.203703704,0.175185185
108,0.36146789,0.128440367,0.056880734,0.124770642,0.201834862,0.174678899
109,0.356363636,0.127272727,0.056363636,0.123636364,0.2,0.172727273
110,0.36036036,0.124324324,0.055855856,0.122522523,0.198198198,0.172252252
111,0.364285714,0.123214286,0.055357143,0.121428571,0.196428571,0.172142857
112,0.368141593,0.120353982,0.054867257,0.120353982,0.194690265,0.171681416
113,0.371929825,0.119298246,0.054385965,0.119298246,0.192982456,0.171578947
114,0.375652174,0.125217391,0.053913043,0.11826087,0.191304348,0.172869565
115,0.379310345,0.124137931,0.053448276,0.117241379,0.187931034,0.172413793
116,0.382905983,0.12991453,0.052991453,0.116239316,0.186324786,0.173675214
117,0.377966102,0.128813559,0.052542373,0.115254237,0.184745763,0.171864407
118,0.373109244,0.12605042,0.05210084,0.114285714,0.183193277,0.169747899
119,0.376666667,0.125,0.051666667,0.113333333,0.181666667,0.169666667
120,0.380165289,0.12231405,0.051239669,0.112396694,0.18677686,0.170578512
121,0.383606557,0.121311475,0.050819672,0.11147541,0.183606557,0.170163934
122,0.38699187,0.126829268,0.050406504,0.117073171,0.182113821,0.172682927
123,0.390322581,0.125806452,0.05,0.116129032,0.179032258,0.172258065
124,0.3856,0.1312,0.0496,0.1152,0.1776,0.17184
125,0.388888889,0.13015873,0.049206349,0.114285714,0.174603175,0.171428571
126,0.384251969,0.127559055,0.048818898,0.113385827,0.171653543,0.169133858
127,0.3796875,0.1265625,0.0484375,0.1125,0.1703125,0.1675
128,0.382945736,0.124031008,0.048062016,0.111627907,0.175193798,0.168372093
129,0.386153846,0.123076923,0.047692308,0.110769231,0.18,0.169538462
130,0.381679389,0.120610687,0.047328244,0.109923664,0.178625954,0.167633588
131,0.377272727,0.11969697,0.046969697,0.109090909,0.183333333,0.167272727
132,0.380451128,0.12481203,0.046616541,0.108270677,0.180451128,0.168120301
133,0.38358209,0.123880597,0.046268657,0.107462687,0.17761194,0.167761194
134,0.379259259,0.128888889,0.045925926,0.106666667,0.174814815,0.167111111
135,0.382352941,0.127941176,0.045588235,0.105882353,0.173529412,0.167058824
136,0.37810219,0.125547445,0.045255474,0.105109489,0.172262774,0.165255474
137,0.38115942,0.124637681,0.044927536,0.104347826,0.171014493,0.165217391
138,0.376978417,0.129496403,0.044604317,0.103597122,0.169784173,0.164892086
139,0.372857143,0.128571429,0.044285714,0.102857143,0.168571429,0.163428571
140,0.375886525,0.126241135,0.043971631,0.10212766,0.167375887,0.163120567
141,0.371830986,0.125352113,0.043661972,0.101408451,0.171830986,0.162816901
142,0.374825175,0.123076923,0.043356643,0.100699301,0.170629371,0.162517483
143,0.370833333,0.122222222,0.043055556,0.1,0.169444444,0.161111111
144,0.373793103,0.12,0.042758621,0.099310345,0.168275862,0.160827586
145,0.369863014,0.119178082,0.042465753,0.098630137,0.167123288,0.159452055
146,0.365986395,0.123809524,0.042176871,0.097959184,0.165986395,0.159183673
147,0.368918919,0.122972973,0.041891892,0.097297297,0.164864865,0.159189189
148,0.365100671,0.127516779,0.041610738,0.096644295,0.163758389,0.158926174
149,0.361333333,0.126666667,0.041333333,0.096,0.162666667,0.1576
150,0.357615894,0.131125828,0.041059603,0.095364238,0.166887417,0.158410596
151,0.353947368,0.130263158,0.040789474,0.094736842,0.165789474,0.157105263
