"","regret","regret","regret","regret","regret"
"name","Deterministic","DeterministicAlternating","EpsilonFirst","EpsilonGreedy","Exp3"
"trial","","","","",""
"0","0.0","1.0","2.0","2.0","1.0"
"1","0.5","1.5","2.0","0.5","0.5"
"2","0.6666666666666666","2.0","0.6666666666666666","0.3333333333333333","0.6666666666666666"
"3","0.75","1.5","0.5","0.25","0.75"
"4","0.8","1.8","0.6","0.4","0.8"
"5","0.8333333333333334","1.5","0.5","0.3333333333333333","0.6666666666666666"
"6","0.8571428571428571","1.7142857142857142","0.5714285714285714","0.2857142857142857","0.5714285714285714"
"7","0.875","1.5","0.5","0.25","0.5"
"8","0.8888888888888888","1.6666666666666667","0.4444444444444444","0.2222222222222222","0.5555555555555556"
"9","0.9","1.5","0.4","0.2","0.5"
"10","0.9090909090909091","1.6363636363636365","0.45454545454545453","0.18181818181818182","0.5454545454545454"
"11","0.9166666666666666","1.5","0.5","0.16666666666666666","0.5"
"12","0.9230769230769231","1.6153846153846154","0.5384615384615384","0.15384615384615385","0.46153846153846156"
"13","0.9285714285714286","1.5","0.5","0.14285714285714285","0.5"
"14","0.9333333333333333","1.6","0.4666666666666667","0.13333333333333333","0.4666666666666667"
"15","0.9375","1.5","0.4375","0.125","0.5"
"16","0.9411764705882353","1.588235294117647","0.47058823529411764","0.11764705882352941","0.47058823529411764"
"17","0.9444444444444444","1.5","0.5","0.1111111111111111","0.4444444444444444"
"18","0.9473684210526315","1.5789473684210527","0.5263157894736842","0.10526315789473684","0.47368421052631576"
"19","0.95","1.5","0.55","0.1","0.45"
"20","0.9523809523809523","1.5714285714285714","0.5714285714285714","0.09523809523809523","0.42857142857142855"
"21","0.9545454545454546","1.5","0.5909090909090909","0.09090909090909091","0.45454545454545453"
"22","0.9565217391304348","1.565217391304348","0.5652173913043478","0.08695652173913043","0.43478260869565216"
"23","0.9583333333333334","1.5","0.5416666666666666","0.08333333333333333","0.4583333333333333"
"24","0.96","1.56","0.56","0.08","0.44"
"25","0.9615384615384616","1.5","0.5769230769230769","0.07692307692307693","0.4230769230769231"
"26","0.9629629629629629","1.5555555555555556","0.5555555555555556","0.07407407407407407","0.4444444444444444"
"27","0.9642857142857143","1.5","0.5357142857142857","0.07142857142857142","0.42857142857142855"
"28","0.9655172413793104","1.5517241379310345","0.5517241379310345","0.06896551724137931","0.4482758620689655"
"29","0.9666666666666667","1.5","0.5666666666666667","0.06666666666666667","0.43333333333333335"
"30","0.967741935483871","1.5483870967741935","0.5483870967741935","0.06451612903225806","0.45161290322580644"
"31","0.96875","1.5","0.5625","0.0625","0.4375"
"32","0.9696969696969697","1.5454545454545454","0.5757575757575758","0.06060606060606061","0.42424242424242425"
"33","0.9705882352941176","1.5","0.5588235294117647","0.058823529411764705","0.4117647058823529"
"34","0.9714285714285714","1.542857142857143","0.5428571428571428","0.05714285714285714","0.4"
"35","0.9722222222222222","1.5","0.5277777777777778","0.05555555555555555","0.3888888888888889"
"36","0.972972972972973","1.5405405405405406","0.5135135135135135","0.05405405405405406","0.40540540540540543"
"37","0.9736842105263158","1.5","0.5","0.05263157894736842","0.42105263157894735"
"38","0.9743589743589743","1.5384615384615385","0.48717948717948717","0.05128205128205128","0.41025641025641024"
"39","0.975","1.5","0.475","0.05","0.4"
"40","0.975609756097561","1.5365853658536586","0.4634146341463415","0.04878048780487805","0.3902439024390244"
"41","0.9761904761904762","1.5","0.47619047619047616","0.047619047619047616","0.38095238095238093"
"42","0.9767441860465116","1.5348837209302326","0.46511627906976744","0.046511627906976744","0.3953488372093023"
"43","0.9772727272727273","1.5","0.45454545454545453","0.045454545454545456","0.4090909090909091"
"44","0.9777777777777777","1.5333333333333334","0.4666666666666667","0.044444444444444446","0.4222222222222222"
"45","0.9782608695652174","1.5","0.45652173913043476","0.043478260869565216","0.41304347826086957"
