Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,0,0,0.616934329,0,1.235184078,0.370423682
1,0.281093441,0.369305981,2.873389282,0,3.196017077,1.343961156
2,0.204055218,0.802868798,3.9567247,0,4.274909425,1.847711628
3,0.518476367,1.470885394,4.547518998,0,4.594663444,2.226308841
4,0.548969395,3.248221458,5.024464453,0.186277657,3.725753359,2.546737264
5,0.547015651,3.537779186,5.107974028,1.159144466,4.010652461,2.872513158
6,0.318942529,3.604374372,3.630646908,0.945490852,3.294383694,2.358767671
7,0.400647582,3.927912496,3.707381212,0.290278336,3.679672355,2.401178396
8,0.438879921,3.910196839,3.416308734,0.313253552,3.735366719,2.362801153
9,0.41979519,3.700397893,3.66996467,0.183187211,3.389902832,2.272649559
10,0.436625582,3.915158726,3.762625848,0.115481257,3.027319278,2.251442138
11,0.412087868,3.92257105,3.759961756,0.317197592,3.175185801,2.317400813
12,0.397706327,4.042293521,3.671192932,1.490239056,2.907739448,2.501834257
13,0.460123996,4.135316923,3.709236158,0.983947784,3.05120079,2.46796513
14,0.437553815,3.69792417,3.735340849,4.859115913,3.184928511,3.182972652
15,0.373901284,3.850240203,3.653687562,4.782776635,3.258498841,3.183820905
16,0.315745483,3.91671227,3.410789111,4.697656834,3.225286857,3.113238111
17,0.323077983,3.829550095,3.399769591,4.374252849,3.334631416,3.052256387
18,0.324416886,3.973669867,3.481540539,4.176812486,3.392742091,3.069836374
19,0.273692167,3.69274087,3.178066505,4.20453364,3.549012241,2.979609084
20,0.306205151,3.782611542,3.080176103,4.303179698,3.604383399,3.015311178
21,0.284113235,3.833214372,3.1994617,4.066744673,3.46180581,2.969067958
22,0.204740528,3.846933923,3.221606663,3.742773522,3.520638234,2.907338574
23,0.235596981,3.862939298,3.324597675,3.510682025,3.431129849,2.872989165
24,0.27732512,3.831032975,3.353223871,3.304386355,3.552360376,2.863665739
25,0.22998959,3.923292039,3.353873096,3.144887367,3.619678511,2.854344121
26,0.22900763,3.988213706,3.407284697,2.982837876,3.455387626,2.812546307
27,0.282485153,4.004882049,3.419077292,2.847336395,3.536780187,2.818112215
28,0.27832219,4.00881386,3.424011197,2.674278885,3.373577377,2.751800702
29,0.241338969,3.837201815,3.462918748,2.567245044,3.115998061,2.644940528
30,0.237690186,3.873045389,3.522488887,2.502733521,3.214012153,2.669994027
31,0.21691476,3.914045677,3.550394032,2.573469203,3.292475739,2.709459882
32,0.208510082,4.004157812,3.609472088,2.562760362,3.401063744,2.757192818
33,0.201091744,4.045951337,3.684225694,2.485302077,3.44182789,2.771679749
34,0.166514167,3.701040183,3.741022165,2.538133143,3.32436941,2.694215813
35,0.14151838,3.712267801,3.752713826,2.463718633,3.281591366,2.670362001
36,0.130795832,3.699253111,3.737047186,2.395930887,3.336303163,2.659866036
37,0.166391645,3.710349745,3.733223759,2.336113372,3.351419859,2.659499676
38,0.167904012,3.701000291,3.78625026,2.302848668,3.383055345,2.668211715
39,0.145190695,3.55835496,3.943504685,2.243457441,3.426280591,2.663357674
40,0.161871997,3.568235367,3.971653881,2.193337341,3.304558023,2.639931322
41,0.173200065,3.563654152,4.001998618,2.148388833,3.208543654,2.619157064
42,0.203290786,3.57504123,4.080104373,2.091230407,3.249806638,2.639894687
43,0.241807357,3.605527017,4.083463058,2.052271985,3.324174857,2.661448855
44,0.277010759,3.672686399,4.126807288,2.121023222,3.224923704,2.684490274
45,0.259856026,3.683165794,4.131842892,2.089477151,3.242444971,2.681357367
46,0.274080456,3.721307911,4.143714276,2.061287827,3.195156498,2.679109394
47,0.297172561,3.726452864,4.01471206,2.016380055,3.103585317,2.631660572
48,0.272833966,3.72544309,4.022561052,1.954900108,3.044565644,2.604060772
49,0.279735523,3.721725857,4.058484943,1.913946969,3.088024538,2.612383566
50,0.348089564,3.713119236,3.994424637,1.889196279,3.12441213,2.613848369
51,0.348839933,3.718776323,3.913917809,1.856627431,3.166119886,2.600856276
52,0.381833737,3.710891419,3.847758977,1.90445423,3.191934574,2.607374587
53,0.371143388,3.724528144,3.771228007,1.866725957,3.238796838,2.594484467
54,0.362747207,3.609242807,3.646331785,1.941380406,3.252140319,2.562368505
55,0.376278985,3.620607711,3.578488541,1.898368329,3.266192386,2.54798719
56,0.353201409,3.630368622,3.551066958,1.870088776,3.314607676,2.543866688
57,0.33290904,3.631855975,3.458457931,1.84634379,3.313977297,2.516708807
58,0.335441803,3.623460049,3.431214689,1.817693384,3.350999262,2.511761837
59,0.358360062,3.561579424,3.328651337,1.795860549,3.375908296,2.484071933
60,0.348130371,3.588262097,3.286418628,1.778469961,3.301466676,2.460549547
61,0.330502001,3.595884928,3.232848174,1.751943928,3.226828709,2.427601548
62,0.33440117,3.605370607,3.187894172,1.729303944,3.259978752,2.423389729
63,0.31835842,3.636143446,3.152083501,1.7086025,3.28217945,2.419473463
64,0.338616486,3.530666105,3.101494489,1.670512854,3.29950629,2.388159245
65,0.327406896,3.520865963,3.092153385,1.645041828,3.244978379,2.36608929
66,0.348845912,3.542841815,3.007893933,1.619713092,3.275814859,2.359021922
67,0.346854467,3.549275104,2.954324902,1.599497006,3.231957138,2.336381724
68,0.346397396,3.565344468,2.930471211,1.583371352,3.186922961,2.322501478
69,0.35717636,3.482889271,2.876289603,1.567975666,3.159055177,2.288677216
70,0.355687429,3.480766347,2.842037247,1.535101359,3.16852246,2.276422968
71,0.341701481,3.493599797,2.8004396,1.507212098,3.151933924,2.25897738
72,0.371136227,3.50331483,2.784661169,1.477600344,3.17775896,2.262894306
73,0.35616943,3.53468061,2.735290699,1.459197661,3.18407451,2.253882582
74,0.344488072,3.527090634,2.714636817,1.428400981,3.218319582,2.246587217
75,0.344215891,3.54569587,2.655685738,1.402571623,3.152827489,2.220199322
76,0.34751675,3.566100132,2.614198148,1.39004209,3.10824823,2.20522107
77,0.368088213,3.572407551,2.588926551,1.376920425,3.045546185,2.190377785
78,0.348392676,3.589297949,2.575317334,1.356003995,3.030759305,2.179954252
79,0.364059701,3.679713664,2.537126064,1.337041727,3.000795071,2.183747245
80,0.376400509,3.703390732,2.521993578,1.321241028,3.030535234,2.190712216
81,0.378405027,3.702281987,2.479531724,1.301644307,3.057780345,2.183928678
82,0.360562615,3.699849782,2.445994661,1.291274581,3.077541173,2.175044562
83,0.363321508,3.691090425,2.430810423,1.283187912,3.047003529,2.163082759
84,0.349059091,3.674178124,2.382691703,1.341988156,3.061139654,2.161811346
85,0.358948716,3.677426435,2.354707579,1.320124289,3.02069404,2.146380212
86,0.365747174,3.672413093,2.330596576,1.304286069,3.051760588,2.1449607
87,0.381605422,3.679173236,2.292024922,1.290094619,3.012505275,2.131080695
88,0.375246637,3.687041248,2.294051661,1.275178897,3.015710321,2.129445753
89,0.372234566,3.730469204,2.286773463,1.257285347,3.04388226,2.138128968
90,0.369647323,3.749107891,2.274287354,1.245156396,3.072925806,2.142224954
91,0.369760402,3.751519616,2.245397784,1.290074755,3.102711525,2.151892816
92,0.36252133,3.749189665,2.220024513,1.282435974,3.137412065,2.150316709
93,0.36219687,3.763889269,2.182123104,1.271780732,3.09191118,2.134380231
94,0.362738574,3.664895303,2.154485835,1.259568908,3.048966065,2.098130937
95,0.354115505,3.665500267,2.14326258,1.244497512,3.042396658,2.089954504
96,0.357620429,3.682099806,2.126260304,1.238230587,2.999746126,2.08079145
97,0.347991001,3.677575781,2.102091871,1.22623909,3.018550457,2.07448964
98,0.337675399,3.683718677,2.068944095,1.215297345,2.995114492,2.060150001
99,0.362528124,3.701701734,2.052361876,1.200705277,2.9632334,2.056106082
100,0.349857979,3.704192554,2.031230035,1.187565713,2.952565805,2.045082417
101,0.349534196,3.718929265,2.012818041,1.241793876,2.946571847,2.053929445
102,0.346314803,3.725058269,1.989052261,1.228558005,2.913665603,2.040529788
103,0.344372277,3.74542341,1.96791412,1.220385755,2.878982209,2.031415554
104,0.346313113,3.735472287,1.942120701,1.203901826,2.852790457,2.016119677
105,0.349439383,3.721276754,1.921898342,1.193090577,2.828034039,2.002747819
106,0.352043457,3.729439206,1.901618338,1.18290789,2.83623745,2.000449268
107,0.355478618,3.743956127,1.878465002,1.169705994,2.81447682,1.992416512
108,0.360114967,3.74203731,1.85728468,1.158357567,2.775099701,1.978578845
109,0.33667957,3.725941141,1.834314964,1.153903925,2.743159957,1.958799911
110,0.337186682,3.733744845,1.820636399,1.175495325,2.706108828,1.954634416
111,0.339584165,3.743230395,1.799858866,1.165472845,2.681774873,1.945984229
112,0.341116397,3.756268184,1.787568709,1.200744973,2.667903176,1.950720288
113,0.350432486,3.764438806,1.771843736,1.187851791,2.642444469,1.943402257
114,0.360520347,3.758446924,1.769526354,1.175813137,2.626526101,1.938166573
115,0.364461679,3.767729495,1.757841738,1.166617913,2.604530294,1.932236224
116,0.381640676,3.7810957,1.746225757,1.152234593,2.58972383,1.930184111
117,0.387394669,3.769069281,1.730467313,1.144634246,2.560460231,1.918405148
118,0.384606693,3.773701081,1.717376009,1.135195829,2.542574749,1.910690872
119,0.402186338,3.723171184,1.701763883,1.126117163,2.534093048,1.897466323
120,0.394872751,3.728170988,1.68486346,1.116235296,2.506580204,1.88614454
121,0.392032833,3.741216698,1.675421424,1.10860393,2.482246645,1.879904306
122,0.396569262,3.743220611,1.659759955,1.096871798,2.459849641,1.871254253
123,0.401548371,3.734629857,1.643352309,1.087806629,2.44684849,1.862837131
124,0.398877712,3.653435142,1.63012477,1.124160004,2.426371198,1.846593765
125,0.41544252,3.670002024,1.622178156,1.117627976,2.40469715,1.845989565
126,0.424676609,3.684039403,1.605733082,1.109265227,2.377750495,1.840292963
127,0.426535682,3.688612507,1.595612943,1.100418252,2.346288105,1.831493498
128,0.415228113,3.699535448,1.593154236,1.088968218,2.339498041,1.827276811
129,0.413745807,3.687123342,1.584802026,1.079213021,2.32283175,1.817543189
130,0.434707964,3.703486944,1.568224392,1.070065733,2.306722249,1.816641456
131,0.441192211,3.705832353,1.554614799,1.062537561,2.279983394,1.808832064
132,0.442543097,3.700932386,1.549403037,1.056596863,2.261198816,1.80213484
133,0.449075743,3.723552346,1.539118755,1.04813858,2.242034294,1.800383943
134,0.442303518,3.70291964,1.523951582,1.0374402,2.230878678,1.787498723
135,0.436996471,3.697791494,1.513271875,1.030230543,2.209074801,1.777473037
136,0.439332912,3.70289329,1.502628496,1.019952052,2.184666208,1.769894591
137,0.437978125,3.701321592,1.494994007,1.010960132,2.15843402,1.760737575
138,0.450721599,3.711989862,1.486124158,1.003257531,2.144665976,1.759351825
139,0.443759249,3.691420401,1.477104648,0.996066672,2.129741268,1.747618448
140,0.445376363,3.693403082,1.46582059,0.988053749,2.147169803,1.747964717
141,0.435534485,3.685630259,1.448316637,0.978532473,2.132958637,1.736194498
142,0.434338446,3.69491936,1.438711062,0.975379518,2.113020005,1.731273678
143,0.428237451,3.713520803,1.423521862,0.967679563,2.098874614,1.726366858
144,0.428603822,3.682825049,1.410967182,0.959092694,2.080509301,1.71239961
145,0.428082398,3.693704268,1.399077469,0.952086174,2.063081038,1.707206269
146,0.428561248,3.700965836,1.393318078,0.944487432,2.091988825,1.711864284
147,0.427181968,3.713722006,1.383013714,0.939855145,2.073376392,1.707429845
148,0.434222958,3.722951926,1.369194441,0.975153325,2.052798351,1.7108642
149,0.435729195,3.736884223,1.36229535,0.970779842,2.036970421,1.708531806
150,0.44128552,3.749285746,1.352487356,0.987706831,2.021732819,1.710499654
151,0.454736916,3.764136,1.340413953,0.979340548,2.007143117,1.709154107
152,0.456368405,3.779502213,1.327781546,0.971384069,1.996645512,1.706336349
153,0.466222091,3.785025926,1.317852179,0.994168114,1.977385423,1.708130746
154,0.457335038,3.74202247,1.307116721,0.989356435,1.963401613,1.691846455
155,0.460242137,3.754254519,1.296684812,0.983577153,1.949612616,1.688874247
156,0.448889968,3.761300323,1.290740602,0.97738069,1.934441135,1.682550544
157,0.452970758,3.773073191,1.283423232,1.005149546,1.918785133,1.686680372
158,0.453653627,3.786088513,1.271190171,0.997373113,1.902688574,1.6821988
159,0.458827161,3.794720736,1.263089256,0.992218309,1.890296788,1.67983045
160,0.453122162,3.809676691,1.256064451,0.985282538,1.880123522,1.676853873
161,0.450291558,3.819114363,1.250790509,0.978552686,1.8712611,1.674002043
162,0.451887082,3.826769264,1.242549134,0.972769934,1.861474544,1.671089992
163,0.4475988,3.831116389,1.235346681,0.96428099,1.854250952,1.666518762
164,0.445975566,3.844191109,1.229021568,0.959220096,1.841478739,1.663977416
165,0.442137888,3.871613595,1.222587164,0.954257584,1.862505381,1.670620322
166,0.43507918,3.883152147,1.217371609,0.949382144,1.85089655,1.667176326
167,0.436327095,3.898096689,1.209040836,0.944505726,1.840338214,1.665661712
168,0.430922205,3.906392974,1.19978025,0.938257478,1.834567055,1.661983993
169,0.431979871,3.860177003,1.19485158,0.95437943,1.825723804,1.653422338
170,0.419970173,3.871107569,1.182979283,0.948546818,1.814068274,1.647334424
171,0.433702394,3.876016804,1.174877655,0.942257947,1.799623236,1.645295607
172,0.440899086,3.8889566,1.169659593,0.937179521,1.789064597,1.645151879
173,0.441530777,3.88648221,1.162263261,0.934015074,1.816827089,1.648223682
174,0.44645561,3.890566235,1.152770276,0.928416054,1.802660409,1.644173717
175,0.44800512,3.906065438,1.148351066,0.923976898,1.795504448,1.644380594
176,0.446785482,3.904827095,1.141254858,0.919255393,1.783165325,1.639057631
177,0.456300633,3.910403614,1.134899458,0.915003037,1.77413007,1.638147363
178,0.455701122,3.909046041,1.126476347,0.911124517,1.762373991,1.632944404
179,0.445094614,3.894618053,1.119745534,0.906767879,1.745232874,1.622291791
180,0.434022658,3.909706766,1.119065325,0.900231547,1.740650156,1.620735291
181,0.442351268,3.910557072,1.114148269,0.893155821,1.736601301,1.619362746
182,0.447671625,3.923172596,1.106741095,0.890248344,1.729221657,1.619411063
183,0.448673061,3.924500449,1.101459043,0.912971567,1.719621543,1.621445133
184,0.446966366,3.928747279,1.095216474,0.907921416,1.71200299,1.618170905
185,0.435581046,3.933094304,1.088678711,0.904364418,1.701987594,1.612741214
186,0.437362184,3.94784978,1.084221161,0.898742724,1.697081758,1.613051521
187,0.431095626,3.947964985,1.078685699,0.893893881,1.687414804,1.607810999
188,0.438723168,3.957224908,1.071504545,0.889408437,1.678389265,1.607050065
189,0.437930844,3.97333492,1.064185273,0.916712269,1.669501152,1.612332892
190,0.440203332,3.978625178,1.059711943,0.912252124,1.661276015,1.610413718
191,0.436008084,3.98385895,1.054967252,0.905645187,1.653349089,1.606765713
192,0.44397966,3.99381856,1.050969806,0.902240384,1.640783266,1.606358335
193,0.443287147,3.995343592,1.048172895,0.89784796,1.626575535,1.602245426
194,0.441750121,3.9638026,1.040918894,0.893302166,1.612391608,1.590433078
195,0.444891681,3.965861868,1.039425805,0.888276363,1.603259303,1.588343004
196,0.44810266,3.968709887,1.035681499,0.883075604,1.591920992,1.585498129
197,0.44480136,3.969639991,1.031888241,0.879387779,1.586516573,1.582446789
198,0.443135581,3.974414314,1.026940786,0.874140185,1.578460591,1.579418292
199,0.432245194,3.938307197,1.022044629,0.868567543,1.572630284,1.56675897
200,0.431275832,3.938009776,1.017293172,0.863751403,1.566177743,1.563301585
201,0.433079012,3.947271985,1.011396032,0.889040476,1.559622283,1.568081958
202,0.436685343,3.955987017,1.006815189,0.884508619,1.555368158,1.567872865
203,0.437387009,3.956487152,1.001119833,0.88063832,1.548177217,1.564761906
204,0.445110655,3.940648256,0.997747449,0.876603551,1.540821908,1.560186364
205,0.450429179,3.941938198,0.991756436,0.871763481,1.53239265,1.557655989
206,0.454067787,3.957727742,0.987444935,0.867798278,1.523294386,1.558066626
207,0.45014429,3.959997883,0.981792538,0.885795989,1.51338547,1.558223234
208,0.453694208,3.959835554,0.976628987,0.905730403,1.511960116,1.561569854
209,0.45177932,3.906373264,0.971527945,0.90247831,1.528848532,1.552201474
210,0.449785151,3.91557625,0.965448724,0.898305646,1.521145802,1.550052314
211,0.445862596,3.917252538,0.96151247,0.895095626,1.514425857,1.546829817
212,0.440483454,3.917314593,0.956097649,0.890859056,1.505334408,1.542017832
213,0.441088554,3.922990038,0.951983537,0.885890304,1.496684065,1.5397273
