"","regret","regret","regret","regret","regret"
"name","Deterministic","DeterministicAlternating","EpsilonFirst","EpsilonGreedy","Exp3"
"trial","","","","",""
"0","0.0","0.0","0.0","0.0","0.0"
"1","0.27793140670701266","1.2224092383144833","1.233244616561496","0.0","0.325616787448171"
"2","0.7970495006551969","1.4405825489193995","4.85110241806503","7.401486830834377e-17","0.3031354392449404"
"3","0.7979491453424581","1.8067191901759165","5.651561294521187","0.0","0.656017198671589"
"4","0.8698591654180451","3.5609180187883496","5.897452466672279","1.1102230246251566e-17","2.9107805659284574"
"5","1.2537988490596208","3.3904431963765256","6.02288999473047","0.0","3.065269960895474"
"6","1.375213052145506","3.6511916892569984","6.232686215000131","0.0198731859996873","2.9709308341618472"
"7","1.3701257674539413","3.8265809978023393","6.136780050096112","0.7655847085489892","3.0836910785849256"
"8","1.3967670910021281","3.862597678148509","5.141545903679436","4.331115973096186","3.190385648447283"
"9","1.1476302584372822","3.970741226687963","5.2113722811035785","4.528928250917663","3.2905020509505816"
"10","1.2229723300822641","3.780646753786174","5.398490294108715","3.823536426589942","3.3750396662437665"
"11","1.113254088670603","3.9844195144838235","5.530815632228458","3.2604413523407927","3.6203744675624616"
"12","1.1855879196912626","4.038547736777427","5.581610538449803","3.3269438145902535","3.0356905118003175"
"13","1.2816607488237908","3.976607115055331","5.820433270105016","2.8529630625779308","2.907839846503876"
"14","1.260305241449128","4.18484306771231","5.846426579663858","2.629570068170302","2.9110859850989477"
"15","1.2233594928221074","4.298545450217592","5.841908984618509","2.505526502839821","3.328263695003387"
"16","1.2049417016481805","4.444696348291156","5.975437516823667","2.6376842838952848","3.314211447295547"
"17","1.2883500719780874","4.517523811055199","6.070995750931402","2.541281837367369","3.3448157430300975"
"18","1.3512018429989063","4.547172693616206","6.062965517280901","2.3531911958762692","3.5332169420200503"
"19","1.3417237545837022","3.9700426295069704","6.140370276724093","2.252244526341753","3.4979170553257206"
"20","1.3606161070303606","4.091087785663888","6.14748195216077","2.100594655785608","3.5802547404200427"
"21","1.2797084860535919","4.093311677871029","6.174722763329647","2.0187522318926554","3.4708552067516236"
"22","1.2402521340317392","4.053487550489914","6.310552698028252","1.878182693351898","3.569239105234495"
"23","1.165461881611265","4.118608267662071","6.324287508087235","1.821979815367942","3.505178217376425"
"24","1.17255316183468","3.9993887050055434","6.341005495556922","1.7533002202879668","3.571570325637325"
"25","1.2077088453839062","4.007333952311156","6.350725028913607","1.6583066714092676","3.644169149431457"
"26","1.2328169974738188","4.054377873299622","6.336371093275985","1.6154255376030184","3.6624569043525326"
"27","1.2239475648535207","4.060032152596265","6.350230834342446","1.564597278894635","3.6940666870448564"
"28","1.2977831283585923","4.102771649667607","6.407283345822965","1.5147582792338605","3.52986403831601"
"29","1.3670065904431192","3.987139333195314","5.564562334527872","1.454729342194482","3.5624813173832783"
"30","1.4270431304595026","3.9907054264704502","5.0345823118116275","1.449683457835668","3.61309060547418"
"31","1.4224961812955754","4.0798403792125955","5.067426111346079","1.4103347663936363","3.634495140430554"
"32","1.3816706234237086","4.091302045625191","4.736050576068569","1.3738791607843157","3.6210230226661153"
"33","1.3413187424970268","4.137539894968921","4.799370736626023","1.328443716382633","3.654500872764911"
"34","1.369278480272278","4.005241783768607","4.86371296765599","1.2874988085107322","3.566471619633706"
"35","1.3549696164943041","4.0015049523015405","4.941949951793355","1.2479258973029461","3.581174108946051"
"36","1.4002100675881568","3.986958228664528","4.993512445974788","1.22486588821132","3.394188593772532"
"37","1.417280146923595","3.9810267041956893","5.022025136433085","1.1973183172067074","3.4103259896572"
"38","1.4184639453321002","4.043938405539236","4.806281453241151","1.1700069916824403","3.407104926045001"
"39","1.3856242064603044","3.9577644910911376","4.845677164729888","1.1319646740289642","3.4274552461034915"
"40","1.3656107808191806","4.020587900316003","4.866948906039998","1.10466558883247","3.47479338491939"
