Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
142,1.266713174,4.051018637,1.515989059,0.701966792,2.637651758,2.034667884
143,1.263877976,4.072660586,1.509878063,0.738565107,2.617271396,2.040450625
144,1.262536241,4.021192105,1.503712271,0.733824194,2.60748472,2.025749906
145,1.258062989,4.040169095,1.490314664,0.727638949,2.586255005,2.02048814
146,1.248650762,4.054782527,1.485141139,0.72241926,2.569448745,2.016088487
147,1.256430663,4.051772454,1.47173002,0.719432041,2.594901303,2.018853296
148,1.261366224,4.069238451,1.462386328,0.715103537,2.577936773,2.017206263
149,1.252302481,4.039654634,1.453549034,0.710666727,2.534778211,1.998190217
150,1.24202572,4.035739102,1.448288242,0.7058799,2.51180965,1.988748523
151,1.253122429,4.043585332,1.435050895,0.701904715,2.49355926,1.985444526
152,1.246860421,4.05575354,1.425462855,0.69637973,2.475331374,1.979957584
153,1.248794637,4.056622864,1.41407193,0.69224776,2.469839158,1.97631527
154,1.247837802,4.080915276,1.402692516,0.688633781,2.452994276,1.97461473
155,1.24002452,4.092785915,1.391285038,0.684225599,2.473435213,1.976351257
156,1.2504081,4.09377589,1.383667177,0.680721623,2.462022101,1.974118978
157,1.238171758,4.099028578,1.367470973,0.676114251,2.450024471,1.966162006
158,1.229032434,4.102078526,1.360559454,0.67178146,2.439706965,1.960631768
159,1.210115329,4.053096951,1.351387392,0.667022201,2.418881614,1.940100697
160,1.205342136,4.055458248,1.346613695,0.662048951,2.399794571,1.93385152
161,1.201078699,4.065803738,1.336385147,0.657122794,2.4100446,1.934086996
162,1.204813222,4.068228267,1.328995864,0.652702923,2.401279222,1.9312039
163,1.204957759,4.076788395,1.322271758,0.648845522,2.412354088,1.933043505
164,1.188130771,4.049900947,1.312217559,0.645484345,2.399776333,1.919101991
165,1.204249444,4.05240085,1.301567872,0.640694424,2.379654002,1.915713319
166,1.199931915,4.064927206,1.296154844,0.637874496,2.358001802,1.911378053
167,1.197305199,4.073152815,1.287150896,0.634775718,2.349594308,1.908395787
168,1.210990424,4.080766167,1.281807365,0.628846234,2.33319574,1.907121186
169,1.20526711,4.072385574,1.275519268,0.62360155,2.319039935,1.899162688
170,1.200111787,4.070120796,1.26814079,0.619948093,2.305107756,1.892685844
171,1.199527063,4.082128504,1.26362644,0.616023727,2.297322825,1.891725712
172,1.196998169,4.099052234,1.253728632,0.614059438,2.291513475,1.891070389
173,1.196752391,4.099720311,1.247734256,0.609990995,2.281056967,1.887050984
174,1.198351209,4.069082834,1.240739774,0.606093425,2.263409479,1.875535344
175,1.207380422,4.069485589,1.232800354,0.602805321,2.252575174,1.873009372
176,1.21758698,4.087903554,1.223132172,0.598744111,2.237290774,1.872931518
177,1.216776107,4.092173146,1.215997937,0.594780643,2.225325812,1.869010729
178,1.210654877,4.09031151,1.205134637,0.591868946,2.210404989,1.861674992
179,1.210494609,4.117633649,1.19838885,0.588163573,2.199535354,1.862843207
180,1.213397294,4.117916143,1.192988759,0.616088555,2.188896087,1.865857368
181,1.211691124,4.114575135,1.186397877,0.61335894,2.183422419,1.861889099
182,1.218658833,4.118504054,1.180062598,0.610140114,2.170246269,1.859522374
183,1.22909918,4.128807752,1.174727975,0.608182409,2.146205012,1.857404466
184,1.239825379,4.102948394,1.169169462,0.605497845,2.128202938,1.849128804
185,1.233834256,4.105140887,1.161274818,0.60251928,2.126230624,1.845799973
186,1.222920224,4.108354409,1.157178415,0.599646345,2.141990794,1.846018037
187,1.212296296,4.122096456,1.151499167,0.596957397,2.135096006,1.843589065
188,1.213724864,4.12658131,1.148248364,0.593548053,2.126139059,1.84164833
189,1.214593094,4.108072126,1.143221386,0.590673425,2.118948678,1.835101742
190,1.221821456,4.115912483,1.135694505,0.587339568,2.102667148,1.832687032
191,1.224816721,4.116194847,1.127415988,0.584437375,2.093681283,1.829309243
192,1.21942509,4.12439352,1.120746303,0.581672638,2.087752819,1.826798074
193,1.220865894,4.123974599,1.114805449,0.578390552,2.079908749,1.823589049
194,1.222553212,4.09091048,1.107478347,0.575544548,2.10276375,1.819850067
195,1.21985292,4.09569557,1.098283135,0.572418049,2.095488899,1.816347715
196,1.222699447,4.101253548,1.093987743,0.569955775,2.095559457,1.816691194
197,1.231195183,4.116186384,1.087951171,0.567018826,2.08744565,1.817959443
198,1.231671486,4.116427916,1.082116382,0.564763738,2.074252388,1.813846382
199,1.232620374,4.11166881,1.078587463,0.592403273,2.064393108,1.815934605
200,1.233600426,4.116861519,1.073990157,0.589057946,2.054175236,1.813537057
201,1.229773978,4.13080233,1.06912514,0.58685566,2.0505464,1.813420702
202,1.23863535,4.140580943,1.064674564,0.583124299,2.033042066,1.812011445
203,1.235850685,4.150307071,1.058852464,0.580579348,2.026584493,1.810434812
204,1.241157066,4.098502525,1.054408588,0.578552049,2.033185833,1.801161212
205,1.242930817,4.097897587,1.049007069,0.577086708,2.02019244,1.797422924
206,1.244838991,4.102536889,1.044462555,0.575181973,2.016113551,1.796626792
207,1.244769343,4.110070497,1.037934163,0.571528968,2.001760134,1.793212621
208,1.240549755,4.120319243,1.033439491,0.568594988,1.998126921,1.79220608
209,1.239973967,4.086910987,1.028103058,0.565175865,1.99399889,1.782832553
210,1.242675831,4.081176426,1.022320677,0.562222948,1.9865141,1.778981996
211,1.241902297,4.083296439,1.015803687,0.582432859,1.973145392,1.779316135
212,1.238364242,4.092601193,1.01137907,0.580112819,1.95790671,1.776072807
213,1.232866927,4.097127032,1.007674445,0.577181274,1.95379528,1.773728992
214,1.23522276,4.089668899,1.000999623,0.574207189,1.947069694,1.769433633
215,1.229528246,4.096311936,0.995833645,0.572512949,1.93851645,1.766540645
216,1.227789497,4.100128013,0.989592169,0.569267416,1.931333785,1.763622176
217,1.226824795,4.108241909,0.983734531,0.567561661,1.91831089,1.760934757
218,1.227092048,4.112209487,0.978495949,0.565554877,1.906799492,1.75803037
219,1.222102102,4.106215832,0.972955086,0.563267716,1.902317038,1.753371555
220,1.233064992,4.112672666,0.969794366,0.571028819,1.914216628,1.760155494
221,1.230781878,4.122116712,0.964366752,0.567917739,1.909034717,1.758843559
222,1.229512357,4.1286622,0.96114343,0.564588507,1.898861533,1.756553605
223,1.222815103,4.125338702,0.956475302,0.562669187,1.888023889,1.751064436
224,1.21781834,4.109778993,0.951466346,0.560315723,1.877808208,1.743437522
225,1.215488157,4.119924617,0.947169045,0.558510717,1.86690769,1.741600046
226,1.217775352,4.124904228,0.943641731,0.557566195,1.858104084,1.740398318
227,1.222977206,4.135696354,0.939763053,0.555417971,1.851922869,1.741155491
228,1.218669548,4.140519593,0.935256531,0.553312081,1.842597933,1.738071137
