Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
90,0.989010989,0.505494505,0.296703297,0.142857143,0.373626374,0.461538462
91,0.989130435,0.5,0.293478261,0.141304348,0.369565217,0.458695652
92,0.989247312,0.505376344,0.290322581,0.139784946,0.365591398,0.458064516
93,0.989361702,0.5,0.287234043,0.138297872,0.372340426,0.457446809
94,0.989473684,0.505263158,0.284210526,0.136842105,0.368421053,0.456842105
95,0.989583333,0.5,0.28125,0.135416667,0.364583333,0.454166667
96,0.989690722,0.505154639,0.278350515,0.134020619,0.360824742,0.453608247
97,0.989795918,0.5,0.275510204,0.132653061,0.357142857,0.451020408
98,0.98989899,0.505050505,0.272727273,0.131313131,0.353535354,0.450505051
99,0.99,0.5,0.27,0.13,0.36,0.45
100,0.99009901,0.504950495,0.267326733,0.128712871,0.356435644,0.44950495
101,0.990196078,0.5,0.264705882,0.12745098,0.352941176,0.447058824
102,0.990291262,0.504854369,0.262135922,0.126213592,0.349514563,0.446601942
103,0.990384615,0.5,0.259615385,0.125,0.346153846,0.444230769
104,0.99047619,0.504761905,0.257142857,0.123809524,0.342857143,0.443809524
105,0.990566038,0.5,0.254716981,0.122641509,0.339622642,0.441509434
106,0.990654206,0.504672897,0.252336449,0.121495327,0.345794393,0.442990654
107,0.990740741,0.5,0.25,0.12037037,0.342592593,0.440740741
108,0.990825688,0.504587156,0.247706422,0.119266055,0.339449541,0.440366972
109,0.990909091,0.5,0.245454545,0.118181818,0.336363636,0.438181818
110,0.990990991,0.504504505,0.243243243,0.117117117,0.333333333,0.437837838
111,0.991071429,0.5,0.241071429,0.116071429,0.330357143,0.435714286
112,0.991150442,0.504424779,0.238938053,0.115044248,0.327433628,0.43539823
113,0.99122807,0.5,0.236842105,0.114035088,0.324561404,0.433333333
114,0.991304348,0.504347826,0.234782609,0.12173913,0.32173913,0.434782609
115,0.99137931,0.5,0.232758621,0.120689655,0.327586207,0.434482759
116,0.991452991,0.504273504,0.230769231,0.11965812,0.324786325,0.434188034
117,0.991525424,0.5,0.228813559,0.118644068,0.330508475,0.433898305
118,0.991596639,0.504201681,0.226890756,0.117647059,0.327731092,0.433613445
119,0.991666667,0.5,0.225,0.116666667,0.325,0.431666667
120,0.991735537,0.504132231,0.223140496,0.115702479,0.32231405,0.431404959
121,0.991803279,0.5,0.221311475,0.114754098,0.319672131,0.429508197
122,0.991869919,0.504065041,0.219512195,0.113821138,0.317073171,0.429268293
123,0.991935484,0.5,0.217741935,0.112903226,0.314516129,0.427419355
124,0.992,0.504,0.216,0.112,0.312,0.4272
125,0.992063492,0.5,0.214285714,0.111111111,0.30952381,0.425396825
126,0.992125984,0.503937008,0.212598425,0.11023622,0.307086614,0.42519685
127,0.9921875,0.5,0.2109375,0.1171875,0.3125,0.4265625
128,0.992248062,0.503875969,0.209302326,0.11627907,0.310077519,0.426356589
129,0.992307692,0.5,0.207692308,0.115384615,0.307692308,0.424615385
130,0.992366412,0.503816794,0.20610687,0.114503817,0.305343511,0.424427481
131,0.992424242,0.5,0.204545455,0.113636364,0.303030303,0.422727273
132,0.992481203,0.503759398,0.203007519,0.112781955,0.30075188,0.422556391
133,0.992537313,0.5,0.201492537,0.111940299,0.298507463,0.420895522
134,0.992592593,0.503703704,0.2,0.111111111,0.296296296,0.420740741
135,0.992647059,0.5,0.198529412,0.110294118,0.294117647,0.419117647
136,0.99270073,0.503649635,0.197080292,0.109489051,0.291970803,0.418978102
137,0.992753623,0.5,0.195652174,0.108695652,0.289855072,0.417391304
138,0.992805755,0.503597122,0.194244604,0.107913669,0.287769784,0.417266187
139,0.992857143,0.5,0.192857143,0.107142857,0.285714286,0.415714286
140,0.992907801,0.503546099,0.191489362,0.106382979,0.283687943,0.415602837
141,0.992957746,0.5,0.190140845,0.112676056,0.281690141,0.415492958
142,0.993006993,0.503496503,0.188811189,0.111888112,0.27972028,0.415384615
143,0.993055556,0.5,0.1875,0.111111111,0.284722222,0.415277778
144,0.993103448,0.503448276,0.186206897,0.110344828,0.282758621,0.415172414
145,0.993150685,0.5,0.184931507,0.109589041,0.280821918,0.41369863
146,0.993197279,0.503401361,0.183673469,0.115646259,0.278911565,0.414965986
147,0.993243243,0.5,0.182432432,0.114864865,0.277027027,0.413513514
148,0.993288591,0.503355705,0.181208054,0.11409396,0.275167785,0.413422819
149,0.993333333,0.5,0.18,0.113333333,0.28,0.413333333
150,0.993377483,0.503311258,0.178807947,0.112582781,0.278145695,0.413245033
151,0.993421053,0.5,0.177631579,0.111842105,0.276315789,0.411842105
152,0.993464052,0.503267974,0.176470588,0.111111111,0.274509804,0.411764706
153,0.993506494,0.5,0.175324675,0.116883117,0.272727273,0.411688312
154,0.993548387,0.503225806,0.174193548,0.116129032,0.277419355,0.412903226
155,0.993589744,0.5,0.173076923,0.115384615,0.275641026,0.411538462
156,0.993630573,0.503184713,0.171974522,0.114649682,0.27388535,0.411464968
157,0.993670886,0.5,0.170886076,0.113924051,0.272151899,0.410126582
158,0.993710692,0.503144654,0.169811321,0.113207547,0.270440252,0.410062893
159,0.99375,0.5,0.16875,0.1125,0.275,0.41
160,0.99378882,0.50310559,0.167701863,0.111801242,0.273291925,0.409937888
161,0.99382716,0.5,0.166666667,0.111111111,0.277777778,0.409876543
162,0.993865031,0.503067485,0.165644172,0.110429448,0.27607362,0.409815951
163,0.993902439,0.5,0.164634146,0.109756098,0.274390244,0.408536585
164,0.993939394,0.503030303,0.163636364,0.109090909,0.272727273,0.408484848
165,0.993975904,0.5,0.162650602,0.108433735,0.271084337,0.407228916
166,0.994011976,0.502994012,0.161676647,0.107784431,0.269461078,0.407185629
167,0.994047619,0.5,0.160714286,0.107142857,0.273809524,0.407142857
168,0.99408284,0.50295858,0.159763314,0.106508876,0.272189349,0.407100592
169,0.994117647,0.5,0.158823529,0.105882353,0.270588235,0.405882353
170,0.994152047,0.502923977,0.157894737,0.105263158,0.269005848,0.405847953
171,0.994186047,0.5,0.156976744,0.104651163,0.26744186,0.404651163
172,0.994219653,0.502890173,0.156069364,0.104046243,0.265895954,0.404624277
173,0.994252874,0.5,0.155172414,0.103448276,0.264367816,0.403448276
174,0.994285714,0.502857143,0.154285714,0.102857143,0.262857143,0.403428571
175,0.994318182,0.5,0.153409091,0.102272727,0.261363636,0.402272727
176,0.994350282,0.502824859,0.152542373,0.101694915,0.259887006,0.402259887
177,0.994382022,0.5,0.151685393,0.101123596,0.258426966,0.401123596
178,0.994413408,0.502793296,0.150837989,0.100558659,0.25698324,0.401117318
179,0.994444444,0.5,0.15,0.1,0.261111111,0.401111111
180,0.994475138,0.502762431,0.149171271,0.099447514,0.259668508,0.401104972
181,0.994505495,0.5,0.148351648,0.098901099,0.258241758,0.4
182,0.994535519,0.50273224,0.147540984,0.098360656,0.256830601,0.4
183,0.994565217,0.5,0.14673913,0.097826087,0.255434783,0.398913043
184,0.994594595,0.502702703,0.145945946,0.102702703,0.254054054,0.4
185,0.994623656,0.5,0.14516129,0.102150538,0.252688172,0.398924731
186,0.994652406,0.502673797,0.144385027,0.101604278,0.251336898,0.398930481
187,0.994680851,0.5,0.143617021,0.10106383,0.255319149,0.39893617
188,0.994708995,0.502645503,0.142857143,0.100529101,0.253968254,0.398941799
189,0.994736842,0.5,0.142105263,0.1,0.252631579,0.397894737
190,0.994764398,0.502617801,0.141361257,0.104712042,0.251308901,0.39895288
191,0.994791667,0.5,0.140625,0.109375,0.25,0.398958333
192,0.994818653,0.502590674,0.139896373,0.10880829,0.248704663,0.398963731
193,0.994845361,0.5,0.139175258,0.108247423,0.24742268,0.397938144
194,0.994871795,0.502564103,0.138461538,0.107692308,0.246153846,0.397948718
195,0.994897959,0.5,0.137755102,0.107142857,0.244897959,0.396938776
196,0.994923858,0.502538071,0.137055838,0.106598985,0.243654822,0.396954315
197,0.994949495,0.5,0.136363636,0.106060606,0.242424242,0.395959596
198,0.994974874,0.502512563,0.135678392,0.105527638,0.24120603,0.395979899
199,0.995,0.5,0.135,0.105,0.24,0.395
200,0.995024876,0.502487562,0.134328358,0.104477612,0.23880597,0.395024876
201,0.995049505,0.5,0.133663366,0.103960396,0.237623762,0.394059406
202,0.995073892,0.502463054,0.133004926,0.103448276,0.236453202,0.39408867
203,0.995098039,0.5,0.132352941,0.102941176,0.240196078,0.394117647
204,0.995121951,0.502439024,0.131707317,0.102439024,0.243902439,0.395121951
205,0.995145631,0.5,0.131067961,0.101941748,0.242718447,0.394174757
206,0.995169082,0.502415459,0.130434783,0.101449275,0.241545894,0.394202899
207,0.995192308,0.5,0.129807692,0.100961538,0.240384615,0.393269231
208,0.995215311,0.502392344,0.129186603,0.100478469,0.23923445,0.393301435
209,0.995238095,0.5,0.128571429,0.1,0.238095238,0.392380952
210,0.995260664,0.502369668,0.127962085,0.099526066,0.236966825,0.392417062
211,0.995283019,0.5,0.127358491,0.099056604,0.235849057,0.391509434
212,0.995305164,0.502347418,0.126760563,0.098591549,0.234741784,0.391549296
213,0.995327103,0.5,0.126168224,0.098130841,0.23364486,0.390654206
214,0.995348837,0.502325581,0.125581395,0.097674419,0.23255814,0.390697674
215,0.99537037,0.5,0.125,0.097222222,0.231481481,0.389814815
216,0.995391705,0.502304147,0.124423963,0.096774194,0.230414747,0.389861751
217,0.995412844,0.5,0.123853211,0.096330275,0.229357798,0.388990826
218,0.99543379,0.502283105,0.123287671,0.095890411,0.228310502,0.389041096
219,0.995454545,0.5,0.122727273,0.095454545,0.227272727,0.388181818
220,0.995475113,0.502262443,0.122171946,0.095022624,0.226244344,0.388235294
221,0.995495495,0.5,0.121621622,0.094594595,0.225225225,0.387387387
222,0.995515695,0.502242152,0.121076233,0.094170404,0.224215247,0.387443946
223,0.995535714,0.5,0.120535714,0.09375,0.227678571,0.3875
224,0.995555556,0.502222222,0.12,0.093333333,0.226666667,0.387555556
225,0.995575221,0.5,0.119469027,0.092920354,0.225663717,0.386725664
226,0.995594714,0.502202643,0.118942731,0.092511013,0.224669604,0.386784141
227,0.995614035,0.5,0.118421053,0.092105263,0.223684211,0.385964912
228,0.995633188,0.502183406,0.11790393,0.091703057,0.222707424,0.386026201
229,0.995652174,0.5,0.117391304,0.091304348,0.22173913,0.385217391
230,0.995670996,0.502164502,0.116883117,0.090909091,0.220779221,0.385281385
231,0.995689655,0.5,0.11637931,0.090517241,0.219827586,0.384482759
232,0.995708155,0.502145923,0.115879828,0.090128755,0.21888412,0.384549356
233,0.995726496,0.5,0.115384615,0.08974359,0.217948718,0.383760684
234,0.995744681,0.50212766,0.114893617,0.089361702,0.217021277,0.383829787
235,0.995762712,0.5,0.11440678,0.088983051,0.216101695,0.383050847
236,0.995780591,0.502109705,0.113924051,0.088607595,0.215189873,0.383122363
237,0.995798319,0.5,0.113445378,0.088235294,0.214285714,0.382352941
238,0.9958159,0.50209205,0.112970711,0.087866109,0.213389121,0.382426778
239,0.995833333,0.5,0.1125,0.0875,0.2125,0.381666667
240,0.995850622,0.502074689,0.112033195,0.087136929,0.211618257,0.381742739
241,0.995867769,0.5,0.111570248,0.090909091,0.210743802,0.381818182
242,0.995884774,0.502057613,0.111111111,0.090534979,0.209876543,0.381893004
243,0.995901639,0.5,0.110655738,0.090163934,0.209016393,0.381147541
244,0.995918367,0.502040816,0.110204082,0.089795918,0.208163265,0.38122449
245,0.995934959,0.5,0.109756098,0.089430894,0.207317073,0.380487805
246,0.995951417,0.502024291,0.109311741,0.093117409,0.206477733,0.381376518
247,0.995967742,0.5,0.108870968,0.092741935,0.205645161,0.380645161
248,0.995983936,0.502008032,0.108433735,0.092369478,0.204819277,0.380722892
249,0.996,0.5,0.108,0.092,0.204,0.38
250,0.996015936,0.501992032,0.107569721,0.091633466,0.203187251,0.380079681
251,0.996031746,0.5,0.107142857,0.091269841,0.202380952,0.379365079
252,0.996047431,0.501976285,0.106719368,0.09486166,0.201581028,0.380237154
253,0.996062992,0.5,0.106299213,0.094488189,0.200787402,0.379527559
254,0.996078431,0.501960784,0.105882353,0.094117647,0.2,0.379607843
255,0.99609375,0.5,0.10546875,0.09375,0.19921875,0.37890625
256,0.996108949,0.501945525,0.105058366,0.093385214,0.19844358,0.378988327
257,0.996124031,0.5,0.104651163,0.096899225,0.197674419,0.379069767
258,0.996138996,0.501930502,0.104247104,0.096525097,0.196911197,0.379150579
259,0.996153846,0.5,0.103846154,0.096153846,0.196153846,0.378461538
260,0.996168582,0.501915709,0.103448276,0.095785441,0.195402299,0.378544061
261,0.996183206,0.5,0.103053435,0.095419847,0.198473282,0.378625954
262,0.996197719,0.501901141,0.102661597,0.095057034,0.197718631,0.378707224
263,0.996212121,0.5,0.102272727,0.09469697,0.196969697,0.378030303
264,0.996226415,0.501886792,0.101886792,0.094339623,0.196226415,0.378113208
265,0.996240602,0.5,0.101503759,0.093984962,0.195488722,0.377443609
266,0.996254682,0.501872659,0.101123596,0.093632959,0.194756554,0.37752809
267,0.996268657,0.5,0.100746269,0.093283582,0.194029851,0.376865672
268,0.996282528,0.501858736,0.100371747,0.096654275,0.19330855,0.377695167
269,0.996296296,0.5,0.1,0.096296296,0.192592593,0.377037037
270,0.996309963,0.501845018,0.099630996,0.095940959,0.191881919,0.377121771
271,0.996323529,0.5,0.099264706,0.095588235,0.191176471,0.376470588
272,0.996336996,0.501831502,0.098901099,0.095238095,0.19047619,0.376556777
273,0.996350365,0.5,0.098540146,0.094890511,0.189781022,0.375912409
274,0.996363636,0.501818182,0.098181818,0.094545455,0.189090909,0.376
275,0.996376812,0.5,0.097826087,0.094202899,0.192028986,0.376086957
276,0.996389892,0.501805054,0.097472924,0.093862816,0.194945848,0.376895307
277,0.996402878,0.5,0.097122302,0.09352518,0.194244604,0.376258993
278,0.996415771,0.501792115,0.096774194,0.093189964,0.193548387,0.376344086
279,0.996428571,0.5,0.096428571,0.092857143,0.192857143,0.375714286
280,0.996441281,0.501779359,0.096085409,0.096085409,0.192170819,0.376512456
281,0.996453901,0.5,0.095744681,0.095744681,0.191489362,0.375886525
282,0.996466431,0.501766784,0.09540636,0.09540636,0.190812721,0.375971731
283,0.996478873,0.5,0.095070423,0.098591549,0.190140845,0.376056338
284,0.996491228,0.501754386,0.094736842,0.098245614,0.189473684,0.376140351
285,0.996503497,0.5,0.094405594,0.097902098,0.188811189,0.375524476
286,0.996515679,0.50174216,0.094076655,0.097560976,0.18815331,0.375609756
287,0.996527778,0.5,0.09375,0.097222222,0.1875,0.375
288,0.996539792,0.501730104,0.093425606,0.096885813,0.186851211,0.375086505
289,0.996551724,0.5,0.093103448,0.096551724,0.186206897,0.374482759
290,0.996563574,0.501718213,0.092783505,0.096219931,0.18556701,0.374570447
291,0.996575342,0.5,0.092465753,0.095890411,0.184931507,0.373972603
292,0.996587031,0.501706485,0.092150171,0.098976109,0.184300341,0.374744027
293,0.996598639,0.5,0.091836735,0.098639456,0.183673469,0.37414966
294,0.996610169,0.501694915,0.091525424,0.098305085,0.183050847,0.374237288
295,0.996621622,0.5,0.091216216,0.097972973,0.185810811,0.374324324
296,0.996632997,0.501683502,0.090909091,0.097643098,0.188552189,0.375084175
297,0.996644295,0.5,0.090604027,0.097315436,0.187919463,0.374496644
298,0.996655518,0.501672241,0.090301003,0.096989967,0.190635452,0.375250836
299,0.996666667,0.5,0.09,0.096666667,0.19,0.374666667
300,0.996677741,0.50166113,0.089700997,0.096345515,0.189368771,0.374750831
301,0.996688742,0.5,0.089403974,0.09602649,0.188741722,0.374172185
302,0.99669967,0.501650165,0.089108911,0.095709571,0.188118812,0.374257426
303,0.996710526,0.5,0.088815789,0.095394737,0.1875,0.373684211
304,0.996721311,0.501639344,0.08852459,0.095081967,0.186885246,0.373770492
305,0.996732026,0.5,0.088235294,0.094771242,0.18627451,0.373202614
306,0.996742671,0.501628664,0.087947883,0.094462541,0.185667752,0.373289902
307,0.996753247,0.5,0.087662338,0.094155844,0.185064935,0.372727273
308,0.996763754,0.501618123,0.087378641,0.093851133,0.184466019,0.372815534
309,0.996774194,0.5,0.087096774,0.093548387,0.183870968,0.372258065
310,0.996784566,0.501607717,0.08681672,0.093247588,0.183279743,0.372347267
311,0.996794872,0.5,0.086538462,0.092948718,0.182692308,0.371794872
312,0.996805112,0.501597444,0.086261981,0.092651757,0.182108626,0.371884984
313,0.996815287,0.5,0.085987261,0.092356688,0.181528662,0.37133758
314,0.996825397,0.501587302,0.085714286,0.092063492,0.180952381,0.371428571
315,0.996835443,0.5,0.085443038,0.091772152,0.180379747,0.370886076
316,0.996845426,0.501577287,0.085173502,0.09148265,0.179810726,0.370977918
317,0.996855346,0.5,0.08490566,0.091194969,0.182389937,0.371069182
318,0.996865204,0.501567398,0.084639498,0.090909091,0.184952978,0.371786834
319,0.996875,0.5,0.084375,0.090625,0.184375,0.37125
320,0.996884735,0.501557632,0.08411215,0.090342679,0.183800623,0.371339564
321,0.99689441,0.5,0.083850932,0.090062112,0.183229814,0.370807453
322,0.996904025,0.501547988,0.083591331,0.089783282,0.182662539,0.370897833
323,0.99691358,0.5,0.083333333,0.092592593,0.182098765,0.370987654
324,0.996923077,0.501538462,0.083076923,0.092307692,0.181538462,0.371076923
325,0.996932515,0.5,0.082822086,0.09202454,0.180981595,0.370552147
326,0.996941896,0.501529052,0.082568807,0.091743119,0.180428135,0.370642202
327,0.99695122,0.5,0.082317073,0.091463415,0.179878049,0.370121951
328,0.996960486,0.501519757,0.082066869,0.09118541,0.179331307,0.370212766
329,0.996969697,0.5,0.081818182,0.090909091,0.178787879,0.36969697
330,0.996978852,0.501510574,0.081570997,0.090634441,0.178247734,0.36978852
331,0.996987952,0.5,0.081325301,0.090361446,0.177710843,0.369277108
332,0.996996997,0.501501502,0.081081081,0.09009009,0.177177177,0.369369369
333,0.997005988,0.5,0.080838323,0.089820359,0.176646707,0.368862275
334,0.997014925,0.501492537,0.080597015,0.092537313,0.176119403,0.369552239
335,0.99702381,0.5,0.080357143,0.092261905,0.175595238,0.369047619
336,0.997032641,0.50148368,0.080118694,0.091988131,0.175074184,0.369139466
337,0.99704142,0.5,0.079881657,0.091715976,0.174556213,0.368639053
338,0.997050147,0.501474926,0.079646018,0.091445428,0.174041298,0.368731563
339,0.997058824,0.5,0.079411765,0.091176471,0.173529412,0.368235294
340,0.997067449,0.501466276,0.079178886,0.090909091,0.173020528,0.368328446
341,0.997076023,0.5,0.078947368,0.090643275,0.17251462,0.367836257
342,0.997084548,0.501457726,0.078717201,0.090379009,0.172011662,0.367930029
343,0.997093023,0.5,0.078488372,0.090116279,0.171511628,0.36744186
344,0.997101449,0.501449275,0.07826087,0.089855072,0.171014493,0.367536232
345,0.997109827,0.5,0.078034682,0.089595376,0.173410405,0.367630058
346,0.997118156,0.501440922,0.077809798,0.089337176,0.172910663,0.367723343
347,0.997126437,0.5,0.077586207,0.08908046,0.172413793,0.367241379
348,0.99713467,0.501432665,0.077363897,0.088825215,0.171919771,0.367335244
349,0.997142857,0.5,0.077142857,0.088571429,0.171428571,0.366857143
350,0.997150997,0.501424501,0.076923077,0.088319088,0.170940171,0.366951567
351,0.997159091,0.5,0.076704545,0.088068182,0.170454545,0.366477273
352,0.997167139,0.501416431,0.076487252,0.087818697,0.169971671,0.366572238
353,0.997175141,0.5,0.076271186,0.087570621,0.169491525,0.366101695
354,0.997183099,0.501408451,0.076056338,0.087323944,0.169014085,0.366197183
355,0.997191011,0.5,0.075842697,0.087078652,0.168539326,0.365730337
356,0.99719888,0.50140056,0.075630252,0.086834734,0.168067227,0.365826331
357,0.997206704,0.5,0.075418994,0.086592179,0.167597765,0.365363128
358,0.997214485,0.501392758,0.075208914,0.086350975,0.167130919,0.36545961
359,0.997222222,0.5,0.075,0.086111111,0.166666667,0.365
360,0.997229917,0.501385042,0.074792244,0.085872576,0.166204986,0.365096953
361,0.997237569,0.5,0.074585635,0.085635359,0.165745856,0.364640884
362,0.997245179,0.50137741,0.074380165,0.085399449,0.165289256,0.364738292
363,0.997252747,0.5,0.074175824,0.085164835,0.164835165,0.364285714
364,0.997260274,0.501369863,0.073972603,0.084931507,0.164383562,0.364383562
365,0.99726776,0.5,0.073770492,0.084699454,0.163934426,0.363934426
366,0.997275204,0.501362398,0.073569482,0.084468665,0.163487738,0.364032698
367,0.997282609,0.5,0.073369565,0.08423913,0.163043478,0.363586957
368,0.997289973,0.501355014,0.073170732,0.08401084,0.162601626,0.363685637
369,0.997297297,0.5,0.072972973,0.083783784,0.162162162,0.363243243
370,0.997304582,0.501347709,0.07277628,0.083557951,0.161725067,0.363342318
371,0.997311828,0.5,0.072580645,0.083333333,0.161290323,0.362903226
372,0.997319035,0.501340483,0.072386059,0.08310992,0.160857909,0.363002681
373,0.997326203,0.5,0.072192513,0.082887701,0.163101604,0.363101604
374,0.997333333,0.501333333,0.072,0.082666667,0.162666667,0.3632
375,0.997340426,0.5,0.071808511,0.082446809,0.162234043,0.362765957
376,0.99734748,0.50132626,0.071618037,0.082228117,0.161803714,0.362864721
377,0.997354497,0.5,0.071428571,0.082010582,0.161375661,0.362433862
378,0.997361478,0.501319261,0.071240106,0.081794195,0.160949868,0.362532982
379,0.997368421,0.5,0.071052632,0.081578947,0.160526316,0.362105263
380,0.997375328,0.501312336,0.070866142,0.081364829,0.160104987,0.362204724
381,0.997382199,0.5,0.070680628,0.081151832,0.159685864,0.361780105
382,0.997389034,0.501305483,0.070496084,0.080939948,0.15926893,0.361879896
383,0.997395833,0.5,0.0703125,0.080729167,0.158854167,0.361458333
