Sum of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
100,0.01980198,0,0.435643564,0.158415842,0.574257426,1.188118812
101,0.019607843,0,0.431372549,0.156862745,0.588235294,1.196078431
102,0.019417476,0,0.427184466,0.155339806,0.582524272,1.184466019
103,0.019230769,0,0.423076923,0.153846154,0.576923077,1.173076923
104,0.019047619,0,0.419047619,0.152380952,0.571428571,1.161904762
105,0.018867925,0,0.41509434,0.150943396,0.58490566,1.169811321
106,0.018691589,0,0.411214953,0.14953271,0.579439252,1.158878505
107,0.018518519,0,0.407407407,0.148148148,0.574074074,1.148148148
108,0.018348624,0,0.403669725,0.146788991,0.568807339,1.137614679
109,0.018181818,0,0.4,0.145454545,0.563636364,1.127272727
110,0.018018018,0,0.396396396,0.144144144,0.558558559,1.117117117
111,0.017857143,0,0.392857143,0.142857143,0.553571429,1.107142857
112,0.017699115,0,0.389380531,0.14159292,0.548672566,1.097345133
113,0.01754386,0,0.385964912,0.140350877,0.543859649,1.087719298
114,0.017391304,0,0.382608696,0.139130435,0.539130435,1.07826087
115,0.017241379,0,0.379310345,0.137931034,0.534482759,1.068965517
116,0.017094017,0,0.376068376,0.136752137,0.52991453,1.05982906
117,0.016949153,0,0.372881356,0.13559322,0.525423729,1.050847458
118,0.016806723,0,0.369747899,0.134453782,0.521008403,1.042016807
119,0.016666667,0,0.366666667,0.133333333,0.516666667,1.033333333
120,0.016528926,0,0.363636364,0.132231405,0.512396694,1.024793388
121,0.016393443,0,0.360655738,0.131147541,0.508196721,1.016393443
122,0.016260163,0,0.357723577,0.130081301,0.504065041,1.008130081
123,0.016129032,0,0.35483871,0.129032258,0.5,1
124,0.016,0,0.352,0.128,0.496,0.992
125,0.015873016,0,0.349206349,0.126984127,0.492063492,0.984126984
126,0.015748031,0,0.346456693,0.125984252,0.488188976,0.976377953
127,0.015625,0,0.34375,0.125,0.484375,0.96875
128,0.015503876,0,0.341085271,0.124031008,0.480620155,0.96124031
129,0.015384615,0,0.338461538,0.123076923,0.476923077,0.953846154
130,0.015267176,0,0.335877863,0.122137405,0.473282443,0.946564885
131,0.015151515,0,0.333333333,0.121212121,0.46969697,0.939393939
132,0.015037594,0,0.330827068,0.120300752,0.466165414,0.932330827
133,0.014925373,0,0.328358209,0.119402985,0.462686567,0.925373134
134,0.014814815,0,0.325925926,0.118518519,0.459259259,0.918518519
135,0.014705882,0,0.323529412,0.117647059,0.455882353,0.911764706
136,0.01459854,0,0.321167883,0.116788321,0.452554745,0.905109489
137,0.014492754,0,0.31884058,0.115942029,0.449275362,0.898550725
138,0.014388489,0,0.316546763,0.115107914,0.446043165,0.892086331
139,0.014285714,0,0.314285714,0.114285714,0.442857143,0.885714286
140,0.014184397,0,0.312056738,0.113475177,0.439716312,0.879432624
141,0.014084507,0,0.309859155,0.112676056,0.436619718,0.873239437
142,0.013986014,0,0.307692308,0.111888112,0.433566434,0.867132867
143,0.013888889,0,0.305555556,0.111111111,0.430555556,0.861111111
144,0.013793103,0,0.303448276,0.110344828,0.427586207,0.855172414
145,0.01369863,0,0.301369863,0.123287671,0.424657534,0.863013699
146,0.013605442,0,0.299319728,0.12244898,0.421768707,0.857142857
147,0.013513514,0,0.297297297,0.121621622,0.418918919,0.851351351
148,0.013422819,0,0.295302013,0.120805369,0.416107383,0.845637584
149,0.013333333,0,0.293333333,0.12,0.413333333,0.84
150,0.013245033,0,0.291390728,0.119205298,0.42384106,0.847682119
151,0.013157895,0,0.289473684,0.118421053,0.421052632,0.842105263
152,0.013071895,0,0.287581699,0.117647059,0.418300654,0.836601307
153,0.012987013,0,0.285714286,0.116883117,0.415584416,0.831168831
154,0.012903226,0,0.283870968,0.116129032,0.412903226,0.825806452
155,0.012820513,0,0.282051282,0.115384615,0.41025641,0.820512821
156,0.012738854,0,0.280254777,0.114649682,0.407643312,0.815286624
157,0.012658228,0,0.278481013,0.113924051,0.405063291,0.810126582
158,0.012578616,0,0.27672956,0.125786164,0.402515723,0.817610063
159,0.0125,0,0.275,0.125,0.4,0.8125
160,0.01242236,0,0.273291925,0.124223602,0.397515528,0.807453416
161,0.012345679,0,0.271604938,0.12345679,0.395061728,0.802469136
162,0.012269939,0,0.26993865,0.122699387,0.404907975,0.809815951
163,0.012195122,0,0.268292683,0.12195122,0.402439024,0.804878049
164,0.012121212,0,0.266666667,0.121212121,0.4,0.8
165,0.012048193,0,0.265060241,0.120481928,0.397590361,0.795180723
166,0.011976048,0,0.263473054,0.119760479,0.407185629,0.80239521
167,0.011904762,0,0.261904762,0.119047619,0.404761905,0.797619048
168,0.01183432,0,0.26035503,0.118343195,0.402366864,0.792899408
169,0.011764706,0,0.258823529,0.117647059,0.4,0.788235294
170,0.011695906,0,0.257309942,0.116959064,0.397660819,0.783625731
171,0.011627907,0,0.255813953,0.11627907,0.395348837,0.779069767
172,0.011560694,0,0.25433526,0.115606936,0.393063584,0.774566474
173,0.011494253,0,0.252873563,0.114942529,0.402298851,0.781609195
174,0.011428571,0,0.251428571,0.114285714,0.4,0.777142857
175,0.011363636,0,0.25,0.113636364,0.397727273,0.772727273
176,0.011299435,0,0.248587571,0.11299435,0.395480226,0.768361582
177,0.011235955,0,0.247191011,0.112359551,0.393258427,0.764044944
178,0.011173184,0,0.245810056,0.111731844,0.391061453,0.759776536
179,0.011111111,0,0.244444444,0.111111111,0.388888889,0.755555556
180,0.011049724,0,0.243093923,0.110497238,0.386740331,0.751381215
181,0.010989011,0,0.241758242,0.10989011,0.384615385,0.747252747
182,0.010928962,0,0.240437158,0.120218579,0.382513661,0.754098361
183,0.010869565,0,0.239130435,0.119565217,0.391304348,0.760869565
184,0.010810811,0,0.237837838,0.118918919,0.389189189,0.756756757
185,0.010752688,0,0.23655914,0.11827957,0.387096774,0.752688172
186,0.010695187,0,0.235294118,0.117647059,0.385026738,0.748663102
187,0.010638298,0,0.234042553,0.117021277,0.382978723,0.744680851
188,0.010582011,0,0.232804233,0.116402116,0.380952381,0.740740741
189,0.010526316,0,0.231578947,0.115789474,0.378947368,0.736842105
190,0.010471204,0,0.230366492,0.115183246,0.376963351,0.732984293
191,0.010416667,0,0.229166667,0.114583333,0.375,0.729166667
192,0.010362694,0,0.227979275,0.113989637,0.373056995,0.725388601
193,0.010309278,0,0.226804124,0.113402062,0.371134021,0.721649485
194,0.01025641,0,0.225641026,0.112820513,0.369230769,0.717948718
195,0.010204082,0,0.224489796,0.112244898,0.367346939,0.714285714
196,0.010152284,0,0.223350254,0.111675127,0.365482234,0.710659898
197,0.01010101,0,0.222222222,0.111111111,0.363636364,0.707070707
198,0.010050251,0,0.221105528,0.110552764,0.361809045,0.703517588
199,0.01,0,0.22,0.11,0.36,0.7
200,0.009950249,0,0.218905473,0.109452736,0.358208955,0.696517413
201,0.00990099,0,0.217821782,0.108910891,0.356435644,0.693069307
202,0.009852217,0,0.216748768,0.108374384,0.354679803,0.689655172
203,0.009803922,0,0.215686275,0.107843137,0.352941176,0.68627451
204,0.009756098,0,0.214634146,0.107317073,0.351219512,0.682926829
205,0.009708738,0,0.213592233,0.106796117,0.349514563,0.67961165
206,0.009661836,0,0.212560386,0.106280193,0.347826087,0.676328502
207,0.009615385,0,0.211538462,0.105769231,0.346153846,0.673076923
208,0.009569378,0,0.210526316,0.105263158,0.344497608,0.669856459
209,0.00952381,0,0.20952381,0.104761905,0.342857143,0.666666667
210,0.009478673,0,0.208530806,0.104265403,0.341232227,0.663507109
211,0.009433962,0,0.20754717,0.103773585,0.339622642,0.660377358
212,0.009389671,0,0.20657277,0.103286385,0.338028169,0.657276995
213,0.009345794,0,0.205607477,0.102803738,0.336448598,0.654205607
214,0.009302326,0,0.204651163,0.102325581,0.334883721,0.651162791
215,0.009259259,0,0.203703704,0.101851852,0.333333333,0.648148148
216,0.00921659,0,0.202764977,0.101382488,0.331797235,0.64516129
217,0.009174312,0,0.201834862,0.100917431,0.330275229,0.642201835
218,0.00913242,0,0.200913242,0.100456621,0.328767123,0.639269406
219,0.009090909,0,0.2,0.1,0.327272727,0.636363636
220,0.009049774,0,0.199095023,0.099547511,0.325791855,0.633484163
221,0.009009009,0,0.198198198,0.099099099,0.324324324,0.630630631
222,0.00896861,0,0.197309417,0.107623318,0.322869955,0.6367713
223,0.008928571,0,0.196428571,0.107142857,0.321428571,0.633928571
224,0.008888889,0,0.195555556,0.106666667,0.32,0.631111111
225,0.008849558,0,0.194690265,0.115044248,0.318584071,0.637168142
226,0.008810573,0,0.193832599,0.114537445,0.317180617,0.634361233
227,0.00877193,0,0.192982456,0.114035088,0.315789474,0.631578947
228,0.008733624,0,0.192139738,0.113537118,0.31441048,0.628820961
229,0.008695652,0,0.191304348,0.113043478,0.313043478,0.626086957
230,0.008658009,0,0.19047619,0.121212121,0.311688312,0.632034632
231,0.00862069,0,0.189655172,0.120689655,0.310344828,0.629310345
232,0.008583691,0,0.188841202,0.120171674,0.309012876,0.626609442
233,0.008547009,0,0.188034188,0.11965812,0.307692308,0.623931624
234,0.008510638,0,0.187234043,0.127659574,0.306382979,0.629787234
235,0.008474576,0,0.186440678,0.127118644,0.305084746,0.627118644
236,0.008438819,0,0.185654008,0.126582278,0.303797468,0.624472574
237,0.008403361,0,0.18487395,0.12605042,0.302521008,0.621848739
238,0.008368201,0,0.184100418,0.133891213,0.30125523,0.627615063
239,0.008333333,0,0.183333333,0.133333333,0.3,0.625
240,0.008298755,0,0.182572614,0.132780083,0.298755187,0.622406639
241,0.008264463,0,0.181818182,0.132231405,0.297520661,0.619834711
242,0.008230453,0,0.181069959,0.131687243,0.296296296,0.617283951
243,0.008196721,0,0.180327869,0.131147541,0.295081967,0.614754098
244,0.008163265,0,0.179591837,0.130612245,0.293877551,0.612244898
245,0.008130081,0,0.178861789,0.130081301,0.292682927,0.609756098
246,0.008097166,0,0.178137652,0.129554656,0.291497976,0.607287449
247,0.008064516,0,0.177419355,0.129032258,0.290322581,0.60483871
248,0.008032129,0,0.176706827,0.128514056,0.297188755,0.610441767
249,0.008,0,0.176,0.128,0.296,0.608
250,0.007968127,0,0.175298805,0.12749004,0.294820717,0.605577689
251,0.007936508,0,0.174603175,0.126984127,0.293650794,0.603174603
252,0.007905138,0,0.173913043,0.126482213,0.292490119,0.600790514
253,0.007874016,0,0.173228346,0.125984252,0.291338583,0.598425197
254,0.007843137,0,0.17254902,0.125490196,0.290196078,0.596078431
255,0.0078125,0,0.171875,0.125,0.2890625,0.59375
256,0.007782101,0,0.171206226,0.124513619,0.287937743,0.591439689
257,0.007751938,0,0.170542636,0.124031008,0.286821705,0.589147287
258,0.007722008,0,0.16988417,0.123552124,0.285714286,0.586872587
259,0.007692308,0,0.169230769,0.123076923,0.284615385,0.584615385
260,0.007662835,0,0.168582375,0.122605364,0.283524904,0.582375479
261,0.007633588,0,0.167938931,0.129770992,0.282442748,0.58778626
262,0.007604563,0,0.16730038,0.129277567,0.281368821,0.585551331
263,0.007575758,0,0.166666667,0.128787879,0.28030303,0.583333333
264,0.00754717,0,0.166037736,0.128301887,0.279245283,0.581132075
265,0.007518797,0,0.165413534,0.127819549,0.278195489,0.578947368
266,0.007490637,0,0.164794007,0.127340824,0.277153558,0.576779026
267,0.007462687,0,0.164179104,0.126865672,0.276119403,0.574626866
268,0.007434944,0,0.163568773,0.126394052,0.275092937,0.572490706
269,0.007407407,0,0.162962963,0.125925926,0.274074074,0.57037037
270,0.007380074,0,0.162361624,0.125461255,0.273062731,0.568265683
271,0.007352941,0,0.161764706,0.125,0.272058824,0.566176471
272,0.007326007,0,0.161172161,0.124542125,0.271062271,0.564102564
273,0.00729927,0,0.160583942,0.124087591,0.270072993,0.562043796
274,0.007272727,0,0.16,0.123636364,0.269090909,0.56
275,0.007246377,0,0.15942029,0.130434783,0.268115942,0.565217391
276,0.007220217,0,0.158844765,0.129963899,0.267148014,0.563176895
277,0.007194245,0,0.158273381,0.129496403,0.26618705,0.561151079
278,0.007168459,0,0.157706093,0.129032258,0.265232975,0.559139785
279,0.007142857,0,0.157142857,0.128571429,0.264285714,0.557142857
280,0.007117438,0,0.15658363,0.128113879,0.263345196,0.555160142
281,0.007092199,0,0.156028369,0.127659574,0.262411348,0.553191489
282,0.007067138,0,0.155477032,0.127208481,0.261484099,0.551236749
283,0.007042254,0,0.154929577,0.126760563,0.26056338,0.549295775
284,0.007017544,0,0.154385965,0.126315789,0.259649123,0.547368421
285,0.006993007,0,0.153846154,0.125874126,0.258741259,0.545454545
286,0.006968641,0,0.153310105,0.12543554,0.257839721,0.543554007
287,0.006944444,0,0.152777778,0.125,0.256944444,0.541666667
288,0.006920415,0,0.152249135,0.124567474,0.256055363,0.539792388
289,0.006896552,0,0.151724138,0.124137931,0.255172414,0.537931034
290,0.006872852,0,0.151202749,0.12371134,0.254295533,0.536082474
291,0.006849315,0,0.150684932,0.123287671,0.253424658,0.534246575
292,0.006825939,0,0.150170648,0.122866894,0.252559727,0.532423208
293,0.006802721,0,0.149659864,0.12244898,0.25170068,0.530612245
294,0.006779661,0,0.149152542,0.122033898,0.250847458,0.528813559
295,0.006756757,0,0.148648649,0.128378378,0.25,0.533783784
296,0.006734007,0,0.148148148,0.127946128,0.249158249,0.531986532
297,0.006711409,0,0.147651007,0.127516779,0.248322148,0.530201342
298,0.006688963,0,0.147157191,0.127090301,0.247491639,0.528428094
299,0.006666667,0,0.146666667,0.126666667,0.246666667,0.526666667
300,0.006644518,0,0.146179402,0.126245847,0.245847176,0.524916944
301,0.006622517,0,0.145695364,0.125827815,0.245033113,0.523178808
302,0.00660066,0,0.145214521,0.125412541,0.244224422,0.521452145
303,0.006578947,0,0.144736842,0.125,0.243421053,0.519736842
304,0.006557377,0,0.144262295,0.124590164,0.242622951,0.518032787
305,0.006535948,0,0.14379085,0.124183007,0.241830065,0.516339869
306,0.006514658,0,0.143322476,0.13029316,0.241042345,0.521172638
307,0.006493506,0,0.142857143,0.12987013,0.24025974,0.519480519
308,0.006472492,0,0.142394822,0.129449838,0.239482201,0.517799353
309,0.006451613,0,0.141935484,0.129032258,0.238709677,0.516129032
310,0.006430868,0,0.1414791,0.128617363,0.237942122,0.514469453
311,0.006410256,0,0.141025641,0.128205128,0.237179487,0.512820513
312,0.006389776,0,0.14057508,0.127795527,0.236421725,0.511182109
313,0.006369427,0,0.140127389,0.127388535,0.23566879,0.50955414
314,0.006349206,0,0.13968254,0.126984127,0.234920635,0.507936508
315,0.006329114,0,0.139240506,0.126582278,0.234177215,0.506329114
316,0.006309148,0,0.138801262,0.126182965,0.233438486,0.504731861
317,0.006289308,0,0.13836478,0.125786164,0.232704403,0.503144654
318,0.006269592,0,0.137931034,0.12539185,0.231974922,0.501567398
319,0.00625,0,0.1375,0.125,0.23125,0.5
320,0.00623053,0,0.137071651,0.124610592,0.230529595,0.498442368
321,0.00621118,0,0.136645963,0.124223602,0.229813665,0.49689441
322,0.00619195,0,0.13622291,0.123839009,0.229102167,0.495356037
323,0.00617284,0,0.135802469,0.12345679,0.228395062,0.49382716
324,0.006153846,0,0.135384615,0.129230769,0.227692308,0.498461538
325,0.006134969,0,0.134969325,0.128834356,0.226993865,0.496932515
326,0.006116208,0,0.134556575,0.128440367,0.226299694,0.495412844
327,0.006097561,0,0.134146341,0.12804878,0.225609756,0.493902439
328,0.006079027,0,0.133738602,0.127659574,0.224924012,0.492401216
329,0.006060606,0,0.133333333,0.127272727,0.224242424,0.490909091
330,0.006042296,0,0.132930514,0.126888218,0.223564955,0.489425982
331,0.006024096,0,0.13253012,0.126506024,0.222891566,0.487951807
332,0.006006006,0,0.132132132,0.126126126,0.222222222,0.486486486
333,0.005988024,0,0.131736527,0.125748503,0.221556886,0.48502994
334,0.005970149,0,0.131343284,0.125373134,0.220895522,0.48358209
335,0.005952381,0,0.130952381,0.125,0.220238095,0.482142857
336,0.005934718,0,0.130563798,0.130563798,0.21958457,0.486646884
337,0.00591716,0,0.130177515,0.130177515,0.218934911,0.485207101
338,0.005899705,0,0.12979351,0.12979351,0.218289086,0.483775811
339,0.005882353,0,0.129411765,0.129411765,0.217647059,0.482352941
340,0.005865103,0,0.129032258,0.129032258,0.217008798,0.480938416
341,0.005847953,0,0.128654971,0.128654971,0.216374269,0.479532164
342,0.005830904,0,0.128279883,0.128279883,0.21574344,0.478134111
343,0.005813953,0,0.127906977,0.127906977,0.215116279,0.476744186
344,0.005797101,0,0.127536232,0.127536232,0.214492754,0.475362319
345,0.005780347,0,0.12716763,0.12716763,0.213872832,0.473988439
346,0.005763689,0,0.126801153,0.126801153,0.213256484,0.472622478
347,0.005747126,0,0.126436782,0.126436782,0.212643678,0.471264368
348,0.005730659,0,0.126074499,0.131805158,0.212034384,0.475644699
349,0.005714286,0,0.125714286,0.131428571,0.211428571,0.474285714
350,0.005698006,0,0.125356125,0.131054131,0.210826211,0.472934473
351,0.005681818,0,0.125,0.130681818,0.210227273,0.471590909
352,0.005665722,0,0.124645892,0.130311615,0.209631728,0.470254958
353,0.005649718,0,0.124293785,0.129943503,0.209039548,0.468926554
354,0.005633803,0,0.123943662,0.129577465,0.208450704,0.467605634
355,0.005617978,0,0.123595506,0.129213483,0.207865169,0.466292135
356,0.005602241,0,0.1232493,0.134453782,0.207282913,0.470588235
357,0.005586592,0,0.122905028,0.134078212,0.206703911,0.469273743
358,0.005571031,0,0.122562674,0.133704735,0.206128134,0.467966574
359,0.005555556,0,0.122222222,0.133333333,0.205555556,0.466666667
360,0.005540166,0,0.121883657,0.132963989,0.20498615,0.465373961
361,0.005524862,0,0.121546961,0.132596685,0.20441989,0.464088398
362,0.005509642,0,0.121212121,0.132231405,0.203856749,0.462809917
363,0.005494505,0,0.120879121,0.131868132,0.203296703,0.461538462
364,0.005479452,0,0.120547945,0.131506849,0.202739726,0.460273973
365,0.005464481,0,0.120218579,0.131147541,0.202185792,0.459016393
366,0.005449591,0,0.119891008,0.130790191,0.201634877,0.457765668
367,0.005434783,0,0.119565217,0.130434783,0.201086957,0.456521739
368,0.005420054,0,0.119241192,0.130081301,0.200542005,0.455284553
369,0.005405405,0,0.118918919,0.12972973,0.2,0.454054054
370,0.005390836,0,0.118598383,0.129380054,0.199460916,0.452830189
371,0.005376344,0,0.11827957,0.129032258,0.198924731,0.451612903
372,0.00536193,0,0.117962466,0.128686327,0.198391421,0.450402145
373,0.005347594,0,0.117647059,0.128342246,0.197860963,0.449197861
374,0.005333333,0,0.117333333,0.128,0.197333333,0.448
375,0.005319149,0,0.117021277,0.127659574,0.196808511,0.446808511
376,0.00530504,0,0.116710875,0.127320955,0.196286472,0.445623342
377,0.005291005,0,0.116402116,0.126984127,0.195767196,0.444444444
378,0.005277045,0,0.116094987,0.126649077,0.19525066,0.443271768
379,0.005263158,0,0.115789474,0.126315789,0.194736842,0.442105263
380,0.005249344,0,0.115485564,0.125984252,0.194225722,0.440944882
381,0.005235602,0,0.115183246,0.12565445,0.193717277,0.439790576
382,0.005221932,0,0.114882507,0.125326371,0.193211488,0.438642298
383,0.005208333,0,0.114583333,0.125,0.192708333,0.4375
384,0.005194805,0,0.114285714,0.124675325,0.192207792,0.436363636
385,0.005181347,0,0.113989637,0.124352332,0.191709845,0.435233161
386,0.005167959,0,0.11369509,0.124031008,0.19121447,0.434108527
387,0.005154639,0,0.113402062,0.12371134,0.190721649,0.432989691
388,0.005141388,0,0.11311054,0.123393316,0.190231362,0.431876607
389,0.005128205,0,0.112820513,0.123076923,0.18974359,0.430769231
390,0.00511509,0,0.112531969,0.122762148,0.189258312,0.429667519
391,0.005102041,0,0.112244898,0.12244898,0.18877551,0.428571429
392,0.005089059,0,0.111959288,0.122137405,0.188295165,0.427480916
393,0.005076142,0,0.111675127,0.121827411,0.187817259,0.426395939
394,0.005063291,0,0.111392405,0.121518987,0.187341772,0.425316456
395,0.005050505,0,0.111111111,0.121212121,0.186868687,0.424242424
396,0.005037783,0,0.110831234,0.120906801,0.186397985,0.423173804
397,0.005025126,0,0.110552764,0.120603015,0.185929648,0.422110553
398,0.005012531,0,0.110275689,0.120300752,0.185463659,0.421052632
399,0.005,0,0.11,0.12,0.185,0.42
400,0.004987531,0,0.109725686,0.119700748,0.184538653,0.418952618
401,0.004975124,0,0.109452736,0.119402985,0.184079602,0.417910448
402,0.004962779,0,0.109181141,0.1191067,0.183622829,0.416873449
403,0.004950495,0,0.108910891,0.123762376,0.183168317,0.420792079
404,0.004938272,0,0.108641975,0.12345679,0.182716049,0.419753086
405,0.004926108,0,0.108374384,0.123152709,0.18226601,0.418719212
406,0.004914005,0,0.108108108,0.122850123,0.181818182,0.417690418
407,0.004901961,0,0.107843137,0.12254902,0.181372549,0.416666667
408,0.004889976,0,0.107579462,0.122249389,0.180929095,0.415647922
409,0.004878049,0,0.107317073,0.12195122,0.180487805,0.414634146
410,0.00486618,0,0.107055961,0.121654501,0.180048662,0.413625304
411,0.004854369,0,0.106796117,0.121359223,0.17961165,0.412621359
412,0.004842615,0,0.10653753,0.121065375,0.179176755,0.411622276
413,0.004830918,0,0.106280193,0.125603865,0.178743961,0.415458937
414,0.004819277,0,0.106024096,0.125301205,0.178313253,0.414457831
415,0.004807692,0,0.105769231,0.125,0.177884615,0.413461538
